player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Danny Welbeck,18,eng ENG,FW,34-080,83,0,2,0,0,1,0,0,0,17,1,0,0,0.0,0.0,0.4,3,2,9,13,69.2,0,8,0,0,0
Matt O'Riley,33,dk DEN,AM,24-085,7,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
Kaoru Mitoma,22,jp JPN,"LM,LW",27-270,90,1,0,0,0,2,2,0,0,47,1,1,3,0.2,0.2,0.0,1,0,21,30,70.0,3,25,4,4,1
Jack Hinshelwood,41,eng ENG,"CM,DM",19-309,73,0,0,0,0,0,0,0,0,34,1,1,0,0.0,0.0,0.0,0,0,24,27,88.9,3,16,0,1,0
Diego Gómez,25,py PAR,DM,21-324,17,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,8,0,0,0
Carlos Baleba,20,cm CMR,"CM,DM",21-042,83,0,0,0,0,2,0,0,0,41,5,3,0,0.1,0.1,0.0,1,0,16,27,59.3,1,17,1,0,0
Yasin Ayari,26,se SWE,DM,21-131,7,0,0,0,0,1,0,0,0,12,0,2,0,0.0,0.0,0.3,3,0,7,10,70.0,2,4,1,1,1
Georginio Rutter,14,fr FRA,"RM,AM",22-300,72,0,0,0,0,1,0,0,0,21,1,1,1,0.1,0.1,0.2,2,0,10,13,76.9,4,12,1,1,1
João Pedro,9,br BRA,"FW,AM",23-141,18,0,0,0,0,2,0,0,0,9,0,0,0,0.3,0.3,0.0,2,0,5,5,100.0,1,8,0,1,0
Tariq Lamptey,2,gh GHA,LB,24-137,90,0,0,0,0,1,0,0,0,46,2,0,0,0.0,0.0,0.0,0,0,28,33,84.8,0,26,2,4,1
Adam Webster,4,eng ENG,CB,30-041,90,0,0,0,0,0,0,0,0,72,2,2,2,0.0,0.0,0.0,2,1,46,59,78.0,2,43,1,0,0
Jan Paul van Hecke,29,nl NED,CB,24-251,90,0,0,0,0,0,0,0,0,45,1,1,0,0.0,0.0,0.0,0,0,38,41,92.7,1,22,0,0,0
Joël Veltman,34,nl NED,"CB,RB",33-030,90,0,0,0,0,1,1,0,0,33,0,1,1,0.3,0.3,0.0,0,0,18,22,81.8,1,9,0,0,0
Yankuba Minteh,17,gm GAM,"RB,RW",20-207,88,2,0,0,0,2,2,1,0,30,5,1,0,0.4,0.4,0.3,5,2,10,15,66.7,0,17,3,5,3
Simon Adingra,11,ci CIV,RW,23-044,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
Bart Verbruggen,1,nl NED,GK,22-180,90,0,1,0,0,0,0,0,0,39,0,0,1,0.0,0.0,0.0,1,1,23,37,62.2,0,26,0,0,0
