player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
George Hirst,27,sct SCO,FW,26-057,70,0,0,0,0,2,0,0,0,18,0,0,0,0.1,0.1,0.0,1,1,6,11,54.5,1,8,1,0,0
Liam Delap,19,eng ENG,FW,22-064,20,0,0,0,0,1,1,0,0,7,0,0,0,0.1,0.1,0.0,1,0,2,4,50.0,1,3,1,3,2
Jack Clarke,47,eng ENG,LW,24-141,70,0,0,0,0,1,0,0,0,23,0,0,0,0.0,0.0,0.1,2,1,9,12,75.0,2,10,2,3,1
Jaden Philogene Bidace,29,eng ENG,LW,23-064,5,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Nathan Broadhead,33,wls WAL,LW,27-008,15,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,2,0,2,5,40.0,1,5,2,2,2
Ben Johnson,18,eng ENG,RW,25-079,90,1,1,0,0,1,1,0,0,32,2,0,3,0.2,0.2,0.6,5,1,13,17,76.5,3,10,0,0,0
Julio Enciso,9,py PAR,AM,21-080,75,1,1,0,0,3,2,0,0,28,2,0,0,0.5,0.5,0.2,2,1,11,15,73.3,3,16,0,4,2
Jack Taylor,14,ie IRL,AM,26-294,15,0,0,0,0,1,0,0,0,8,0,1,2,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,1,0
Jens Cajuste,12,se SWE,DM,25-246,90,0,0,0,0,2,0,0,0,40,2,3,3,0.1,0.1,0.0,3,0,20,24,83.3,1,14,0,2,1
Sam Morsy,5,eg EGY,DM,33-215,90,0,0,0,0,0,0,1,0,36,1,1,3,0.0,0.0,0.0,1,0,22,28,78.6,2,10,1,0,0
Leif Davis,3,eng ENG,LB,25-091,61,0,0,0,0,0,0,0,0,27,0,1,2,0.0,0.0,0.0,1,0,13,19,68.4,0,12,0,0,0
Conor Townsend,22,eng ENG,LB,32-040,29,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,3,3,100.0,1,2,0,0,0
Cameron Burgess,15,au AUS,CB,29-174,90,0,0,0,0,0,0,0,0,31,0,1,2,0.0,0.0,0.0,1,0,15,22,68.2,0,18,0,0,0
Dara O'Shea,26,ie IRL,CB,26-040,90,0,0,0,0,2,0,0,0,37,0,1,3,0.1,0.1,0.0,0,0,14,20,70.0,2,14,0,0,0
Axel Tuanzebe,40,cd COD,RB,27-150,90,0,0,0,0,0,0,0,0,31,3,2,0,0.0,0.0,0.0,0,0,14,19,73.7,0,13,1,1,0
Alex Palmer,31,eng ENG,GK,28-246,90,0,0,0,0,0,0,1,0,40,0,0,0,0.0,0.0,0.0,1,0,22,36,61.1,0,16,0,0,0
