player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Rasmus Højlund,9,dk DEN,FW,22-018,69,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,7,7,100.0,0,4,1,0,0
Chidozie Obi-Martin,56,dk DEN,FW,17-085,21,0,0,0,0,0,0,1,0,10,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,4,1,0,0
Bruno Fernandes,8,pt POR,"AM,CM",30-167,90,1,0,0,0,3,2,0,0,105,5,1,0,0.1,0.1,0.2,6,1,68,94,72.3,13,54,0,6,3
Joshua Zirkzee,11,nl NED,AM,23-276,90,0,0,0,0,2,0,0,0,42,0,0,0,0.2,0.2,0.0,0,0,21,31,67.7,2,26,3,2,0
Casemiro,18,br BRA,CM,32-365,61,0,0,0,0,0,0,0,0,53,6,0,1,0.0,0.0,0.0,0,0,35,44,79.5,4,31,0,0,0
Alejandro Garnacho,17,ar ARG,AM,20-236,29,0,0,0,0,1,0,0,0,19,0,0,0,0.1,0.1,0.0,4,1,15,15,100.0,3,14,4,1,1
Manuel Ugarte Ribeiro,25,uy URU,CM,23-317,90,1,0,0,0,3,1,0,0,60,2,1,2,0.1,0.1,0.0,0,0,39,46,84.8,3,38,2,4,2
Patrick Dorgu,13,dk DEN,WB,20-119,90,0,0,0,0,0,0,0,0,82,2,1,2,0.0,0.0,0.0,2,1,52,65,80.0,1,49,7,2,1
Diogo Dalot,20,pt POR,WB,25-341,90,0,0,0,0,0,0,0,0,54,1,3,0,0.0,0.0,0.1,2,0,39,44,88.6,2,32,0,1,0
Matthijs de Ligt,4,nl NED,CB,25-194,90,0,0,0,0,0,0,0,0,82,1,2,1,0.0,0.0,0.0,0,0,58,66,87.9,5,53,1,0,0
Harry Maguire,5,eng ENG,CB,31-354,90,0,0,0,0,0,0,0,0,72,2,3,0,0.0,0.0,0.0,0,0,51,55,92.7,0,36,1,2,0
Noussair Mazraoui,3,ma MAR,CB,27-100,69,0,0,0,0,0,0,0,0,75,5,2,1,0.0,0.0,0.0,0,0,52,59,88.1,4,39,1,0,0
Leny Yoro,15,fr FRA,CB,19-101,21,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,0,14,1,0,0
André Onana,24,cm CMR,GK,28-326,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,24,28,85.7,0,23,0,0,0
