player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Raúl Jiménez,7,mx MEX,FW,33-132,72,1,0,0,0,2,2,0,0,26,2,1,0,0.3,0.3,0.2,1,0,7,11,63.6,0,15,1,2,0
Rodrigo Muniz,9,br BRA,FW,23-133,18,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,1,2,50.0,1,4,0,2,1
Alex Iwobi,17,ng NGA,LW,28-134,65,0,0,0,0,1,0,0,0,39,3,0,0,0.0,0.0,0.2,8,0,20,29,69.0,8,29,4,3,1
Sander Berge,16,no NOR,DM,26-213,25,0,0,0,0,0,0,0,0,15,0,2,2,0.0,0.0,0.0,1,0,11,12,91.7,1,4,0,0,0
Adama Traoré,11,es ESP,RW,28-233,90,0,0,0,0,4,1,0,0,34,3,0,0,0.6,0.6,0.1,1,0,11,19,57.9,2,25,3,9,5
Emile Smith Rowe,32,eng ENG,AM,24-048,72,0,1,0,0,3,0,0,0,44,3,1,3,0.2,0.2,0.3,5,1,27,29,93.1,4,29,4,2,0
Tom Cairney,10,sct SCO,DM,33-238,18,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.2,1,0,13,14,92.9,2,8,1,0,0
Saša Lukić,20,rs SRB,DM,28-032,65,0,0,0,0,0,0,1,0,35,3,0,1,0.0,0.0,0.0,1,0,25,27,92.6,2,16,0,1,0
Reiss Nelson,19,eng ENG,LW,24-279,25,0,0,0,0,2,1,1,0,18,2,0,1,0.1,0.1,0.0,3,0,8,11,72.7,2,10,3,2,2
Andreas Pereira,18,br BRA,"DM,AM",28-257,85,0,0,0,0,5,1,0,0,47,0,0,0,0.2,0.2,0.1,5,1,22,36,61.1,3,27,0,2,1
Harrison Reed,6,eng ENG,AM,29-231,5,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.1,1,0,5,8,62.5,0,3,0,0,0
Antonee Robinson,33,us USA,LB,27-037,90,0,0,0,0,0,0,0,0,63,6,2,3,0.0,0.0,0.1,4,0,36,49,73.5,3,30,1,3,2
Calvin Bassey,3,ng NGA,CB,24-258,90,0,0,0,0,1,0,0,0,58,1,2,2,0.1,0.1,0.0,0,0,36,44,81.8,2,32,2,2,0
Joachim Andersen,5,dk DEN,CB,28-106,90,0,0,0,0,1,0,0,0,85,3,1,1,0.0,0.0,0.0,0,0,59,72,81.9,4,44,0,0,0
Kenny Tete,2,nl NED,RB,28-341,90,0,0,0,0,2,0,0,0,63,3,4,1,0.1,0.1,0.0,3,0,40,53,75.5,3,32,3,1,0
Bernd Leno,1,de GER,GK,32-194,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,30,35,85.7,0,27,0,0,0
