player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Dominic Calvert-Lewin,9,eng ENG,FW,27-217,90,0,0,0,0,5,3,0,0,24,0,0,0,1.3,1.3,0.0,1,0,7,12,58.3,0,18,3,5,3
Iliman Ndiaye,10,sn SEN,LW,24-227,81,1,0,0,0,2,2,0,0,27,2,1,1,0.3,0.3,0.0,0,0,14,18,77.8,2,19,4,1,1
Orel Mangala,8,be BEL,DM,26-215,9,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.0,2,0,4,5,80.0,0,3,0,0,0
Jack Harrison,11,eng ENG,RW,27-334,90,0,0,0,0,0,0,0,0,52,2,0,0,0.0,0.0,0.5,2,0,17,33,51.5,2,29,7,5,2
Dwight McNeil,7,eng ENG,"AM,LW",24-332,90,0,1,0,0,2,1,0,0,57,1,0,0,0.1,0.1,0.1,6,3,40,50,80.0,6,33,4,1,1
Idrissa Gana Gueye,27,sn SEN,DM,35-023,90,0,0,0,0,0,0,0,0,43,2,1,1,0.0,0.0,0.0,0,0,36,40,90.0,2,25,3,0,0
Abdoulaye Doucouré,16,ml MLI,"DM,AM",31-292,90,0,0,0,0,0,0,0,0,58,0,0,3,0.0,0.0,0.2,3,0,45,51,88.2,5,34,1,0,0
Vitaliy Mykolenko,19,ua UKR,LB,25-143,90,0,0,0,0,0,0,0,0,54,3,1,1,0.0,0.0,0.0,1,0,42,47,89.4,4,34,0,0,0
Michael Keane,5,eng ENG,CB,31-282,90,1,0,0,0,1,1,1,0,56,1,1,1,0.0,0.0,0.0,0,0,38,42,90.5,0,26,0,0,0
James Tarkowski,6,eng ENG,CB,31-335,90,0,0,0,0,0,0,0,0,45,2,0,0,0.0,0.0,0.0,1,0,28,34,82.4,0,18,0,1,1
Ashley Young,18,eng ENG,RB,39-102,90,0,0,0,0,1,1,0,0,69,4,1,0,0.1,0.1,0.1,4,1,45,59,76.3,11,30,1,2,1
Jordan Pickford,1,eng ENG,GK,30-226,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,1,0,20,44,45.5,0,29,0,0,0
