player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Liam Delap,19,eng ENG,FW,21-343,83,0,0,0,0,1,1,1,0,12,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,6,0,3,1
George Hirst,27,sct SCO,FW,25-336,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,1,1,0,0,0
Nathan Broadhead,33,wls WAL,"LW,AM",26-286,90,0,0,0,0,1,1,0,0,25,0,1,0,0.0,0.0,0.0,1,0,14,17,82.4,2,12,2,3,1
Wes Burns,7,wls WAL,RW,30-054,70,0,0,0,0,1,0,0,0,23,3,0,0,0.1,0.1,0.1,2,0,9,17,52.9,0,9,4,2,2
Jack Taylor,14,ie IRL,"RW,DM",26-207,20,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,0,0,17,19,89.5,1,11,0,1,0
Omari Hutchinson,20,eng ENG,"AM,RW",21-078,90,0,0,0,0,2,1,0,0,39,0,1,0,0.1,0.1,0.0,1,0,22,28,78.6,1,21,1,3,0
Jens Cajuste,12,se SWE,DM,25-159,70,0,0,0,0,0,0,0,0,29,2,1,0,0.0,0.0,0.0,2,0,21,24,87.5,1,10,0,1,0
Sam Morsy,5,eg EGY,DM,33-128,20,0,0,0,0,0,0,0,0,26,0,0,2,0.0,0.0,0.0,0,0,20,24,83.3,1,12,0,0,0
Kalvin Phillips,8,eng ENG,DM,29-045,83,0,0,0,0,0,0,0,0,37,4,2,1,0.0,0.0,0.0,0,0,17,23,73.9,1,12,0,0,0
Jack Clarke,47,eng ENG,LW,24-054,7,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,4,0,1,0
Leif Davis,3,eng ENG,LB,25-004,90,0,0,0,0,0,0,0,0,53,2,0,0,0.0,0.0,0.0,1,0,41,47,87.2,0,21,1,1,1
Jacob Greaves,24,eng ENG,CB,24-126,90,0,0,0,0,0,0,0,0,79,0,2,5,0.0,0.0,0.0,1,0,64,70,91.4,5,32,0,0,0
Luke Woolfenden,6,eng ENG,CB,26-087,90,0,0,0,0,0,0,1,0,63,1,3,1,0.0,0.0,0.0,0,0,51,54,94.4,1,27,0,0,0
Dara O'Shea,26,ie IRL,RB,25-318,90,0,0,0,0,0,0,0,0,65,0,0,4,0.0,0.0,0.0,1,0,35,51,68.6,1,12,0,0,0
Christian Walton,28,eng ENG,GK,29-068,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,33,47,70.2,0,15,0,0,0
