player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Jørgen Strand Larsen,9,no NOR,FW,24-277,72,0,0,0,0,1,1,0,0,15,0,2,1,0.0,0.0,0.0,0,0,6,9,66.7,0,6,1,0,0
Gonçalo Guedes,29,pt POR,FW,27-346,18,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,2,0,0,0
Rayan Aït-Nouri,3,dz ALG,LW,23-156,89,0,0,0,0,1,0,0,0,40,4,0,2,0.1,0.1,0.0,1,0,21,29,72.4,1,24,2,6,4
Matt Doherty,2,ie IRL,LW,32-298,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Pablo Sarabia,21,es ESP,RW,32-182,45,1,0,0,0,1,1,0,0,18,1,0,0,1.0,1.0,0.0,1,1,6,11,54.5,2,11,0,3,1
Jean-Ricner Bellegarde,27,fr FRA,RW,26-135,45,0,0,0,0,1,0,1,0,18,0,0,1,0.0,0.0,0.0,1,0,4,6,66.7,0,11,0,6,1
Matheus Cunha,10,br BRA,AM,25-166,89,1,1,0,0,2,1,0,0,31,1,1,2,0.1,0.1,1.0,2,1,16,18,88.9,5,15,4,5,2
Rodrigo Gomes,19,pt POR,AM,21-125,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,0,0
João Gomes,8,br BRA,DM,23-271,90,0,0,0,0,1,1,0,0,41,0,2,3,0.0,0.0,0.0,0,0,19,30,63.3,2,18,1,1,1
Mario Lemina,5,ga GAB,DM,31-069,90,0,1,0,0,1,0,0,0,30,2,1,0,0.0,0.0,0.0,4,1,17,23,73.9,2,12,1,1,1
Toti Gomes,24,pt POR,LB,25-298,90,0,0,0,0,0,0,0,0,56,3,0,0,0.0,0.0,0.0,1,0,36,45,80.0,2,28,0,1,1
Craig Dawson,15,eng ENG,CB,34-187,90,0,0,0,0,0,0,0,0,52,1,0,2,0.0,0.0,0.0,1,1,35,38,92.1,1,33,0,1,0
Santiago Bueno,4,uy URU,CB,26-000,90,0,0,0,0,0,0,0,0,37,1,0,2,0.0,0.0,0.0,0,0,27,31,87.1,1,19,0,0,0
Nélson Semedo,22,pt POR,RB,30-359,90,0,0,0,0,0,0,0,0,36,1,1,2,0.0,0.0,0.1,1,0,23,26,88.5,2,15,0,1,1
José Sá,1,pt POR,GK,31-297,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,15,28,53.6,0,15,0,0,0
