name,position,clean_sheet_percentile,goals_conceded_percentile,high_claim_percentile,long_ball_accuracy_percentile,save_percentage_percentile,sweeper_percentile
Alisson Becker,GK,78%,97%,10%,24%,33%,89%
Vitezslav Jaros,GK,18%,65%,86%,100%,100%,59%
Caoimhin Kelleher,GK,71%,62%,10%,40%,61%,21%
Harvey Davies,GK,93%,90%,20%,100%,100%,9%
David Raya,GK,88%,99%,86%,3%,5%,78%
Neto,GK,1%,87%,47%,100%,100%,75%
Stefan Ortega,GK,52%,49%,6%,87%,76%,90%
Ederson Moraes,GK,60%,44%,16%,66%,16%,86%
Gabriel Slonina,GK,13%,14%,53%,69%,72%,80%
Kepa Arrizabalaga,GK,44%,57%,38%,54%,55%,84%
Robert Sánchez,GK,47%,53%,96%,14%,45%,98%
Filip Jörgensen,GK,79%,90%,62%,75%,78%,25%
Martin Dubravka,GK,96%,88%,47%,55%,72%,54%
Odisseas Vlachodimos,GK,100%,100%,8%,100%,100%,3%
Nick Pope,GK,53%,61%,93%,34%,63%,96%
John Ruddy,GK,99%,100%,100%,100%,100%,6%
Filip Marschall,GK,71%,79%,84%,6%,20%,10%
Joe Gauci,GK,33%,78%,96%,100%,100%,96%
Emiliano Martinez,GK,86%,82%,94%,7%,4%,46%
Robin Olsen,GK,62%,12%,45%,100%,100%,46%
Wayne Hennessey,GK,1%,4%,40%,100%,100%,16%
Matz Sels,GK,73%,70%,9%,19%,31%,2%
Carlos Miguel,GK,20%,38%,63%,100%,100%,1%
Bart Verbruggen,GK,37%,32%,40%,10%,6%,23%
Jason Steele,GK,92%,59%,22%,100%,100%,98%
Thomas McGill,GK,5%,29%,92%,44%,72%,91%
Carl Rushworth,GK,22%,72%,42%,100%,100%,7%
Mark Travers,GK,31%,66%,37%,63%,89%,54%
Will Dennis,GK,99%,86%,18%,100%,100%,44%
Ben Winterbottom,GK,12%,11%,1%,1%,1%,1%
Ellery Balcombe,GK,6%,14%,67%,30%,29%,38%
Matthew Cox,GK,1%,9%,7%,100%,100%,98%
Mark Flekken,GK,24%,19%,87%,50%,40%,35%
Hákon Rafn Valdimarsson,GK,30%,8%,96%,100%,100%,7%
Bernd Leno,GK,7%,30%,19%,48%,35%,49%
Steven-Andreas Benda,GK,16%,48%,1%,100%,100%,1%
Joe Whitworth,GK,65%,34%,78%,13%,10%,95%
Louie Moulden,GK,24%,88%,95%,100%,100%,8%
Dean Henderson,GK,70%,55%,41%,5%,21%,83%
Matt Turner,GK,66%,70%,31%,89%,100%,44%
Remi Matthews,GK,86%,69%,69%,100%,100%,80%
William Crellin,GK,76%,31%,70%,25%,18%,43%
Jordan Pickford,GK,91%,92%,22%,11%,9%,90%
Asmir Begovic,GK,90%,61%,1%,100%,100%,7%
Harry Tyrer,GK,63%,68%,25%,15%,44%,30%
Lukasz Fabianski,GK,22%,10%,32%,96%,99%,45%
Wesley Foderingham,GK,1%,1%,100%,100%,100%,98%
Alphonse Areola,GK,14%,16%,21%,72%,73%,37%
Altay Bayindir,GK,48%,8%,47%,91%,100%,32%
Andre Onana,GK,50%,63%,18%,2%,2%,29%
José Sá,GK,30%,12%,85%,31%,53%,87%
Daniel Bentley,GK,84%,45%,1%,100%,100%,11%
Sam Johnstone,GK,6%,8%,84%,100%,100%,85%
Tom King,GK,86%,96%,50%,99%,100%,81%
Fraser Forster,GK,14%,8%,73%,100%,100%,35%
Antonin Kinsky,GK,41%,37%,79%,95%,86%,65%
Brandon Austin,GK,23%,88%,99%,100%,100%,73%
Danny Ward,GK,78%,5%,20%,100%,100%,72%
Mads Hermansen,GK,2%,3%,72%,43%,65%,53%
Daniel Iversen,GK,99%,97%,47%,100%,100%,95%
Jakub Stolarczyk,GK,21%,16%,62%,97%,100%,46%
Arijanet Muric,GK,9%,18%,100%,78%,79%,59%
Christian Walton,GK,8%,1%,96%,100%,100%,33%
Alex Palmer,GK,39%,45%,90%,20%,23%,74%
Alex McCarthy,GK,1%,4%,83%,100%,100%,1%
Joe Lumley,GK,1%,1%,44%,100%,100%,95%
Aaron Ramsdale,GK,8%,4%,50%,52%,56%,10%
Guglielmo Vicario,GK,29%,40%,83%,58%,42%,64%
