name,position,aerial_duels_won_percentile,chances_created_percentile,defensive_actions_percentile,goals_percentile,shot_attempts_percentile,touches_percentile
Calvin Ramsay,RB,53%,45%,56%,0%,98%,77%
Conor Bradley,RB,77%,68%,40%,87%,87%,78%
Nathaniel Phillips,CB,100%,83%,88%,50%,95%,7%
Rhys Williams,CB,98%,49%,34%,73%,54%,0%
Joseph Gomez,CB,36%,67%,40%,0%,38%,96%
Virgil van Dijk,CB,87%,76%,38%,89%,81%,95%
Ibrahima Konaté,CB,66%,54%,25%,55%,71%,78%
Jarell Quansah,CB,22%,45%,41%,0%,59%,98%
Konstantinos Tsimikas,LB,14%,93%,68%,52%,43%,95%
Andrew Robertson,LB,11%,89%,11%,40%,52%,88%
Alexis Mac Allister,DM,26%,80%,59%,84%,70%,57%
Curtis Jones,DM,28%,72%,14%,76%,84%,87%
Ryan Gravenberch,DM,38%,37%,63%,0%,16%,76%
Wataru Endo,CM,92%,8%,87%,42%,10%,97%
Harvey Elliott,CM,8%,95%,1%,99%,100%,80%
Tyler Morton,CM,29%,60%,66%,0%,46%,76%
Dominik Szoboszlai,AM,62%,92%,68%,48%,48%,83%
Ben Doak,RW,10%,86%,51%,15%,16%,44%
Mohamed Salah,RW,10%,82%,1%,99%,90%,32%
Federico Chiesa,RW,0%,46%,35%,47%,99%,44%
Luis Diaz,LW,61%,54%,52%,93%,71%,45%
Cody Gakpo,LW,72%,87%,47%,96%,85%,31%
Darwin Nunez,ST,41%,44%,90%,24%,79%,39%
Diogo Jota,ST,37%,60%,76%,45%,79%,79%
Ben White,RB,69%,26%,30%,0%,46%,50%
Jurrien Timber,RB,51%,34%,29%,59%,51%,55%
William Saliba,CB,33%,30%,13%,58%,14%,88%
Kieran Tierney,CB,7%,100%,2%,97%,31%,58%
Gabriel,CB,69%,69%,10%,96%,93%,77%
Jakub Kiwior,CB,21%,94%,16%,38%,44%,39%
Takehiro Tomiyasu,CB,100%,40%,67%,97%,97%,12%
Oleksandr Zinchenko,LB,91%,79%,12%,97%,96%,91%
Riccardo Calafiori,LB,95%,26%,60%,91%,72%,67%
Myles Lewis-Skelly,LB,31%,16%,2%,74%,7%,44%
Thomas Partey,CM,53%,26%,49%,66%,23%,73%
Martin Ødegaard,CM,5%,99%,0%,70%,90%,77%
