height,market_value,full_name,preferred_foot,primary_position,shirt,assists,goals,matches,minutes_played,rating,red_cards,started,yellow_cards
177,€3.3M,Calvin Ramsay,Right,RB,,,,,,,,,
181,€27M,Conor Bradley,Right,RB,84,2,0,19,748,6.65,0,7,4
188,€3.8M,Nathaniel Phillips,Right,CB,,0,0,2,66,7.81,0,1,0
195,€2.2M,Rhys Williams,Right,CB,,0,0,9,660,7.04,0,7,0
191,€30M,Joseph Gomez,Right,CB,2,0,0,9,519,6.88,0,6,1
193,€30M,Virgil van Dijk,Right,CB,4,1,3,37,"3,330",7.34,0,37,5
192,€52M,Ibrahima Konaté,Right,CB,5,2,1,31,"2,565",7.12,0,30,5
190,€25M,Jarell Quansah,Right,RB,78,0,0,13,488,6.27,0,4,2
179,€23M,Konstantinos Tsimikas,Left,LB,21,1,0,18,833,6.88,0,9,2
178,€35M,Andrew Robertson,Left,LB,26,1,0,33,"2,492",6.84,1,29,3
174,€70M,Alexis Mac Allister,Right,DM,10,5,5,35,"2,607",7.38,0,30,6
182,€40M,Curtis Jones,Right,RB,17,3,3,33,"1,710",6.75,1,19,1
190,€72M,Ryan Gravenberch,Right,DM,38,4,0,37,"3,168",7.29,1,37,6
178,€13M,Wataru Endo,Right,CB,3,0,0,20,261,6.41,0,1,0
170,€38M,Harvey Elliott,Left,CM,19,2,1,18,360,6.66,0,2,1
176,€8.3M,Tyler Morton,Right,DM,80,0,0,2,66,6.56,0,1,1
185,€80M,Dominik Szoboszlai,Right,CM,8,6,6,36,"2,496",7.18,0,29,6
176,€13M,Ben Doak,Right,RW,,0,0,1,13,6.13,0,0,0
175,€57M,Mohamed Salah,Left,RW,11,18,29,38,"3,377",8.00,0,38,1
175,€23M,Federico Chiesa,Right,RW,14,0,0,6,104,6.35,0,1,0
180,€87M,Luis Diaz,Right,LW,7,5,13,36,"2,410",7.37,0,28,2
193,€72M,Cody Gakpo,Right,LW,18,4,10,35,"1,938",7.11,0,23,5
187,€50M,Darwin Nunez,Right,ST,9,2,5,30,"1,118",6.60,0,8,8
178,€54M,Diogo Jota,Right,ST,20,3,6,26,"1,194",6.74,0,14,2
186,€60M,Ben White,Right,RB,4,2,0,17,"1,198",6.95,0,13,2
179,€42M,Jurrien Timber,Right,RB,12,3,1,30,"2,422",7.13,0,27,7
193,€84M,William Saliba,Right,CB,2,0,2,35,"3,041",7.21,1,35,2
178,€11M,Kieran Tierney,Left,CB,3,0,1,13,252,6.73,0,2,0
190,€77M,Gabriel,Left,CB,6,1,3,28,"2,365",7.21,0,28,4
189,€30M,Jakub Kiwior,Left,CB,15,0,1,17,"1,117",6.88,0,10,1
188,€37M,Takehiro Tomiyasu,Both,CB,18,0,0,1,6,,0,0,0
175,€30M,Oleksandr Zinchenko,Left,LB,17,1,0,15,522,6.59,0,5,1
188,€48M,Riccardo Calafiori,Left,CB,33,1,2,19,984,6.90,0,11,4
178,€2.5M,Myles Lewis-Skelly,Left,LB,49,0,1,23,"1,370",6.79,2,15,3
185,€18M,Thomas Partey,Right,RB,5,2,4,35,"2,799",7.38,0,31,4
176,€120M,Martin Ødegaard,Left,RM,8,8,3,30,"2,328",7.23,0,26,4
187,€55M,Mikel Merino,Left,DM,23,2,7,28,"1,581",7.02,1,17,2
185,€130M,Declan Rice,Right,DM,41,7,4,35,"2,833",7.34,1,33,5
178,€130M,Bukayo Saka,Left,RWB,7,10,6,25,"1,735",7.45,0,20,3
170,€37M,Raheem Sterling,Both,RW,30,2,0,17,496,6.40,0,7,1
176,€13M,Ethan Nwaneri,Left,CM,53,2,4,26,889,6.85,0,11,1
180,€80M,Gabriel Martinelli,Right,LM,11,4,8,33,"2,300",7.01,0,25,1
175,€33M,Leandro Trossard,Right,RW,19,7,8,38,"2,550",7.04,1,28,2
177,€130K,Nathan Butler-Oyedeji,Right,LM,37,0,0,1,6,,0,0,0
175,€57M,Gabriel Jesus,Right,RW,9,0,3,17,603,6.73,0,6,4
193,€65M,Kai Havertz,Left,CM,29,3,9,23,"1,874",7.08,0,21,5
