player_id,season_id,appearances,goals,assists,clean_sheets,minutes_played,yellow_cards,red_cards
90665,418,0,0,0,0,0,0,0
72541,418,0,0,0,0,0,0,0
10905,418,30,7,3,2,2041,0,0
19970,418,34,0,2,4,2882,0,0
4328,418,0,0,0,0,0,0,0
9199,418,23,2,2,2,1414,0,0
13286,418,0,0,0,0,0,0,0
4183,418,0,0,0,0,0,0,0
4852,418,0,0,0,0,0,0,0
71432,418,23,1,2,5,1827,0,0
51480,418,0,0,0,0,0,0,0
20113,418,24,1,3,5,1987,0,0
4499,418,14,2,0,5,920,0,0
20053,418,0,0,0,0,0,0,0
3564,418,17,1,2,2,1127,0,0
14732,418,32,2,12,17,2853,0,0
5264,418,25,1,4,3,1533,0,0
4916,418,0,0,0,0,0,0,0
22698,418,0,0,0,0,0,0,0
5467,418,21,0,4,4,1660,0,0
9167,418,21,1,0,3,988,0,0
20559,418,36,0,1,20,3240,0,0
15994,418,28,0,2,4,2186,0,0
51774,418,0,0,0,0,0,0,0
54312,418,30,1,0,0,1720,0,0
20723,418,9,0,0,0,405,0,0
52723,418,0,0,0,0,0,0,0
4093,418,28,4,4,7,2172,0,0
112742,418,0,0,0,0,0,0,0
12306,418,28,0,0,5,2119,0,0
19731,418,0,0,0,0,0,0,0
48689,418,0,0,0,0,0,0,0
37587,418,0,0,0,0,0,0,0
121739,418,0,0,0,0,0,0,0
26151,418,34,0,3,11,2915,0,0
10476,418,0,0,0,0,0,0,0
5061,418,14,0,1,0,618,0,0
10467,418,0,0,0,0,0,0,0
24708,418,0,0,0,0,0,0,0
23742,418,0,0,0,0,0,0,0
51667,418,0,0,0,0,0,0,0
51631,418,0,0,0,0,0,0,0
9595,418,36,10,8,4,2975,0,0
31883,418,1,0,0,0,6,0,0
12186,418,25,2,0,0,1468,0,0
5748,418,1,0,0,0,90,0,0
25281,418,3,0,0,0,24,0,0
123450,418,0,0,0,0,0,0,0
23750,418,0,0,0,0,0,0,0
4859,418,0,0,0,0,0,0,0
11293,418,0,0,0,0,0,0,0
5110,418,14,4,1,4,1039,0,0
15114,418,0,0,0,0,0,0,0
67217,418,0,0,0,0,0,0,0
15340,418,0,0,0,0,0,0,0
3314,418,26,2,2,2,2275,0,0
5595,418,31,3,3,1,2023,0,0
26975,418,0,0,0,0,0,0,0
4496,418,27,1,2,5,2074,0,0
69816,418,0,0,0,0,0,0,0
9762,418,12,0,0,0,1080,0,0
13279,418,0,0,0,0,0,0,0
20489,418,18,1,2,1,756,0,0
12937,418,4,0,0,0,217,0,0
4749,418,0,0,0,0,0,0,0
11260,418,0,0,0,0,0,0,0
21317,418,0,0,0,0,0,0,0
32435,418,0,0,0,0,0,0,0
66607,418,0,0,0,0,0,0,0
3513,418,0,0,0,0,0,0,0
63655,418,0,0,0,0,0,0,0
19871,418,2,0,0,0,70,0,0
4291,418,9,2,2,0,559,0,0
74776,418,0,0,0,0,0,0,0
14623,418,0,0,0,0,0,0,0
24773,418,22,1,0,0,905,0,0
14426,418,0,0,0,0,0,0,0
2517,418,0,0,0,0,0,0,0
4115,418,6,1,0,0,176,0,0
8246,418,23,1,0,0,800,0,0
15185,418,0,0,0,0,0,0,0
52960,418,0,0,0,0,0,0,0
49501,418,3,0,0,0,147,0,0
14568,418,0,0,0,0,0,0,0
25540,418,11,0,0,2,833,0,0
66565,418,0,0,0,0,0,0,0
7450,418,0,0,0,0,0,0,0
2537,418,3,0,0,1,270,0,0
19589,418,31,4,0,7,2631,0,0
4474,418,0,0,0,0,0,0,0
5575,418,1,0,0,0,79,0,0
16671,418,0,0,0,0,0,0,0
31662,418,0,0,0,0,0,0,0
20517,418,32,8,6,0,2184,0,0
10761,418,0,0,0,0,0,0,0
22802,418,17,0,4,6,1365,0,0
14441,418,0,0,0,0,0,0,0
4492,418,25,4,1,1,1136,0,0
65641,418,0,0,0,0,0,0,0
12703,418,25,3,1,0,550,0,0
50975,418,0,0,0,0,0,0,0
5907,418,0,0,0,0,0,0,0
23591,418,0,0,0,0,0,0,0
5067,418,35,8,4,13,2859,0,0
4511,418,0,0,0,0,0,0,0
2886,418,4,0,0,0,338,0,0
10451,418,0,0,0,0,0,0,0
66647,418,4,0,0,0,37,0,0
33175,418,0,0,0,0,0,0,0
21881,418,0,0,0,0,0,0,0
50245,418,26,1,2,6,2116,0,0
112629,418,0,0,0,0,0,0,0
122634,418,0,0,0,0,0,0,0
64271,418,0,0,0,0,0,0,0
66657,418,0,0,0,0,0,0,0
53007,418,0,0,0,0,0,0,0
52175,418,0,0,0,0,0,0,0
107846,418,0,0,0,0,0,0,0
14793,418,0,0,0,0,0,0,0
16204,418,10,0,0,1,900,0,0
23951,418,0,0,0,0,0,0,0
8868,418,36,12,10,5,2987,0,0
68582,418,0,0,0,0,0,0,0
4158,418,0,0,0,0,0,0,0
66318,418,6,1,0,0,388,0,0
109775,418,0,0,0,0,0,0,0
19894,418,0,0,0,0,0,0,0
14636,418,0,0,0,0,0,0,0
31442,418,32,6,0,0,1978,0,0
9457,418,35,2,3,7,2953,0,0
23396,418,36,10,6,5,3118,0,0
74761,418,17,5,1,1,1033,0,0
25191,418,0,0,0,0,0,0,0
19890,418,1,0,0,0,23,0,0
26408,418,35,4,6,0,1901,0,0
8707,418,29,1,1,9,2462,0,0
66692,418,0,0,0,0,0,0,0
4634,418,9,0,0,1,765,0,0
49267,418,0,0,0,0,0,0,0
23869,418,0,0,0,0,0,0,0
8945,418,15,0,0,2,1024,0,0
10466,418,2,0,0,0,180,0,0
2620,418,0,0,0,0,0,0,0
112203,418,8,1,1,2,664,0,0
32279,418,0,0,0,0,0,0,0
14482,418,0,0,0,0,0,0,0
21957,418,0,0,0,0,0,0,0
74562,418,0,0,0,0,0,0,0
9576,418,17,5,2,0,1285,0,0
51648,418,1,0,0,0,12,0,0
13225,418,31,3,2,2,2094,0,0
14944,418,8,0,0,0,440,0,0
74591,418,0,0,0,0,0,0,0
50501,418,0,0,0,0,0,0,0
107832,418,0,0,0,0,0,0,0
3175,418,0,0,0,0,0,0,0
2250,418,0,0,0,0,0,0,0
13814,418,0,0,0,0,0,0,0
53269,418,0,0,0,0,0,0,0
13344,418,38,4,3,10,3380,0,0
6712,418,27,1,0,4,2126,0,0
3160,418,31,0,1,3,2395,0,0
5771,418,15,2,1,0,764,0,0
7163,418,0,0,0,0,0,0,0
11347,418,21,1,1,3,1485,0,0
51616,418,0,0,0,0,0,0,0
14575,418,20,3,1,9,1449,0,0
4620,418,13,1,0,3,1000,0,0
65849,418,0,0,0,0,0,0,0
30534,418,1,0,0,0,1,0,0
13491,418,7,3,1,4,541,0,0
122388,418,8,0,3,0,204,0,0
20858,418,0,0,0,0,0,0,0
13248,418,6,0,0,0,287,0,0
69747,418,0,0,0,0,0,0,0
64522,418,0,0,0,0,0,0,0
4495,418,19,0,0,9,1494,0,0
64140,418,12,0,1,0,295,0,0
51609,418,0,0,0,0,0,0,0
3562,418,13,0,1,0,1015,0,0
11146,418,0,0,0,0,0,0,0
8913,418,0,0,0,0,0,0,0
33335,418,0,0,0,0,0,0,0
3448,418,28,0,2,1,1623,0,0
4604,418,16,0,1,6,1351,0,0
4136,418,38,4,0,11,3363,0,0
14559,418,0,0,0,0,0,0,0
3600,418,30,1,0,7,2658,0,0
24659,418,19,2,0,5,1669,0,0
21653,418,4,0,0,0,155,0,0
69507,418,0,0,0,0,0,0,0
3622,418,21,0,1,5,1815,0,0
53182,418,0,0,0,0,0,0,0
2889,418,20,1,0,6,1676,0,0
16758,418,26,9,1,1,1776,0,0
112628,418,0,0,0,0,0,0,0
49256,418,0,0,0,0,0,0,0
7336,418,28,0,4,5,2211,0,0
15211,418,0,0,0,0,0,0,0
98258,418,0,0,0,0,0,0,0
51619,418,0,0,0,0,0,0,0
51245,418,0,0,0,0,0,0,0
69286,418,5,0,0,0,139,0,0
114257,418,0,0,0,0,0,0,0
2522,418,30,18,3,6,2458,0,0
27277,418,35,1,1,8,3092,0,0
14565,418,0,0,0,0,0,0,0
23989,418,4,0,0,0,180,0,0
22870,418,0,0,0,0,0,0,0
49763,418,0,0,0,0,0,0,0
33158,418,0,0,0,0,0,0,0
24994,418,23,5,3,1,1161,0,0
20722,418,0,0,0,0,0,0,0
19868,418,0,0,0,0,0,0,0
8148,418,34,1,1,4,2922,0,0
12005,418,0,0,0,0,0,0,0
11362,418,26,2,3,2,1481,0,0
2817,418,0,0,0,0,0,0,0
3807,418,0,0,0,0,0,0,0
9251,418,8,0,0,0,720,0,0
14457,418,9,0,0,0,252,0,0
4100,418,0,0,0,0,0,0,0
13389,418,6,1,0,0,232,0,0
13130,418,1,0,0,0,11,0,0
4198,418,34,2,2,5,2754,0,0
12198,418,0,0,0,0,0,0,0
53177,418,0,0,0,0,0,0,0
4330,418,38,0,0,8,3420,0,0
4288,418,30,15,8,8,2205,0,0
9947,418,2,0,0,0,23,0,0
51813,418,1,0,0,0,9,0,0
67927,418,0,0,0,0,0,0,0
14778,418,0,0,0,0,0,0,0
3799,418,11,0,0,0,666,0,0
20701,418,33,10,6,1,2589,0,0
49461,418,0,0,0,0,0,0,0
