team_id,season_id,wins,draws,losses,goals_scored,goals_conceded,points,position_in_table,matches_played
11,418,0,0,0,0,0,0,1,0
10,418,0,0,0,0,0,0,2,0
4,418,0,0,0,0,0,0,3,0
21,418,0,0,0,0,0,0,4,0
1,418,0,0,0,0,0,0,5,0
12,418,0,0,0,0,0,0,6,0
25,418,0,0,0,0,0,0,7,0
26,418,0,0,0,0,0,0,8,0
131,418,0,0,0,0,0,0,9,0
38,418,0,0,0,0,0,0,10,0
23,418,0,0,0,0,0,0,11,0
6,418,0,0,0,0,0,0,12,0
130,418,0,0,0,0,0,0,13,0
2,418,0,0,0,0,0,0,14,0
20,418,0,0,0,0,0,0,15,0
7,418,0,0,0,0,0,0,16,0
9,418,0,0,0,0,0,0,17,0
43,418,0,0,0,0,0,0,18,0
33,418,0,0,0,0,0,0,19,0
14,418,0,0,0,0,0,0,20,0
