player_id,full_name,birth_date,nationality,position
10483,Rolando Aarons,16 November 1995,Jamaica,M
13286,Tammy Abraham,2 October 1997,England,F
4081,Charlie Adam,10 December 1985,Scotland,M
9199,Adam Armstrong,10 February 1997,England,F
13549,Tosin Adarabioyo,24 September 1997,England,D
4852,Adrián,3 January 1987,Spain,G
11357,Adrien Silva,15 March 1989,Portugal,M
4968,Ibrahim Afellay,2 April 1986,Netherlands,M
4040,Benik Afobe,12 February 1993,DR Congo,F
4328,Sergio Agüero,2 June 1988,Argentina,F
10559,Daniel Agyei,1 June 1997,England,F
24695,Soufyan Ahannach,9 September 1995,Netherlands,M
6609,Ahmed Hegazy,25 January 1991,Egypt,D
10439,Ola Aina,8 October 1996,Nigeria,D
4499,Nathan Aké,18 February 1995,Netherlands,D
4482,Chuba Akpom,9 October 1995,England,F
3564,Marc Albrighton,18 November 1989,England,M
4916,Toby Alderweireld,2 March 1989,Belgium,D
14732,Trent Alexander-Arnold,7 October 1998,England,D
33112,Ali Gabr,10 January 1989,Egypt,D
13984,Allan,3 March 1997,Brazil,M
4413,Joe Allen,14 March 1990,Wales,M
9167,Dele Alli,11 April 1996,England,M
3732,Ryan Allsop,17 June 1992,England,G
4093,Marcos Alonso,28 December 1990,Spain,D
14743,Paulo Alves,25 December 1997,Portugal,M
12306,Daniel Amartey,21 December 1994,Ghana,D
4835,Jordi Amat,21 March 1992,Indonesia,D
15128,Luke Amos,23 February 1997,England,M
19731,Ethan Ampadu,14 September 2000,Wales,D
5490,Nordin Amrabat,31 March 1987,Morocco,F
10475,Ander Herrera,14 August 1989,Spain,M
8234,Tom Anderson,2 September 1993,England,D
10476,Andreas Pereira,1 January 1996,Brazil,M
4550,Vurnon Anita,4 April 1989,Curacao,M
9595,Michail Antonio,28 March 1990,Jamaica,F
8242,Scott Arfield,1 November 1988,Canada,M
7175,Giedrius Arlauskis,1 December 1987,Lithuania,G
4823,Marko Arnautovic,19 April 1989,Austria,F
8050,Harry Arter,28 December 1989,Ireland,M
4859,Christian Atsu,10 January 1992,Ghana,M
5110,Pierre-Emerick Aubameyang,18 June 1989,Gabon,F
11293,Sèrge Aurier,24 December 1992,Cote D’Ivoire,D
9468,Charlie Austin,5 July 1989,England,F
5595,Jordan Ayew,11 September 1991,Ghana,F
4496,César Azpilicueta,28 August 1989,Spain,D
13279,Abdul Baba,2 July 1994,Ghana,D
9762,Daniel Bachmann,9 July 1994,Austria,G
20538,Badou Ndiaye,27 October 1990,Senegal,M
12937,Eric Bailly,12 April 1994,Cote D’Ivoire,D
3030,Leighton Baines,11 December 1984,England,D
11260,Tiémoué Bakayoko,17 August 1994,France,M
4749,Lewis Baker,25 April 1995,Jamaica,M
8457,Courtney Baker-Richardson,5 December 1995,England,F
4711,Sam Baldock,15 March 1989,England,F
14623,Beni Baningime,9 September 1998,DR Congo,M
15030,Lewis Banks,14 April 1997,England,D
2517,Phil Bardsley,28 June 1985,Scotland,D
4115,Ross Barkley,5 December 1993,England,M
13590,Daniel Barlaser,18 January 1997,England,M
8246,Ashley Barnes,30 October 1989,England,F
10520,Modou Barrow,13 October 1992,Gambia,F
1308,Gareth Barry,23 February 1981,England,M
3312,Kyle Bartley,22 May 1991,England,D
16622,Borja Bastón,25 August 1992,Spain,F
7450,Michy Batshuayi,2 October 1993,Belgium,F
32838,Moritz Bauer,25 January 1992,Austria,D
3608,Jose Baxter,7 February 1992,England,F
19589,Jan Bednarek,12 April 1996,Poland,D
2537,Asmir Begovic,20 June 1987,Bosnia & Herzegovina,G
3765,Valon Behrami,19 April 1985,Switzerland,M
4474,Héctor Bellerín,19 March 1995,Spain,D
20879,Yasin Ben El-Mhanni,26 October 1995,England,M
13490,Yohan Benalouane,28 March 1987,Tunisia,D
5575,Benjamin Mendy,17 July 1994,France,D
4492,Christian Benteke,3 December 1990,Belgium,F
4205,Saido Berahino,4 August 1993,Burundi,F
6215,Steven Berghuis,19 December 1991,Netherlands,F
5067,Bernardo Silva,10 August 1994,Portugal,M
2886,Ryan Bertrand,5 August 1989,England,D
10451,Muhamed Besic,10 September 1992,Bosnia & Herzegovina,M
10426,Krystian Bielik,4 January 1998,Poland,D
8882,Philip Billing,11 June 1996,Denmark,M
19655,Mark Birighitti,17 April 1991,Australia,G
13231,Henrik Bjørdal,4 February 1997,Norway,F
4888,Daley Blind,9 March 1990,Netherlands,D
4769,Hiram Boateng,8 January 1996,England,M
10441,Jérémie Boga,3 January 1997,Cote D’Ivoire,F
3348,Ádám Bogdán,27 September 1987,Hungary,G
4898,Bojan,28 August 1990,Spain,F
4763,Yannick Bolasie,24 May 1989,DR Congo,F
5721,Gaëtan Bong,25 April 1988,Cameroon,D
4838,Wilfried Bony,10 December 1988,Cote D’Ivoire,F
13475,Regan Booty,4 March 1998,England,M
