team_id,team_common_name,short_name,stadium_name
1,Arsenal,Arsenal,Emirates Stadium
127,Bournemouth,Bournemouth,Vitality Stadium
131,Brighton & Hove Albion,Brighton,AMEX Stadium
43,Burnley,Burnley,Turf Moor
4,Chelsea,Chelsea,Stamford Bridge
6,Crystal Palace,Crystal Palace,Selhurst Park
7,Everton,Everton,Goodison Park
159,Huddersfield Town,Huddersfield,John Smith's Stadium
26,Leicester City,Leicester,King Power Stadium
10,Liverpool,Liverpool,Anfield
11,Manchester City,Man City,Etihad Stadium
12,Manchester United,Man Utd,Old Trafford
23,Newcastle United,Newcastle,St. James' Park
20,Southampton,Southampton,St. Mary's Stadium
42,Stoke City,Stoke,Britannia Stadium
45,Swansea City,Swansea,Liberty Stadium
21,Tottenham Hotspur,Spurs,Wembley Stadium
33,Watford,Watford,Vicarage Road
36,West Bromwich Albion,West Brom,The Hawthorns
25,West Ham United,West Ham,London Stadium
46,Cardiff City,Cardiff,Cardiff City Stadium
34,Fulham,Fulham,Craven Cottage
38,Wolverhampton Wanderers,Wolves,Molineux Stadium
2,Aston Villa,Aston Villa,Villa Park
14,Norwich City,Norwich,Carrow Road
18,Sheffield United,Sheffield Utd,Bramall Lane
9,Leeds United,Leeds,Elland Road
130,Brentford,Brentford,Gtech Community Stadium
15,Nottingham Forest,Nott'm Forest,The City Ground
163,Luton Town,Luton,Kenilworth Road
8,Ipswich Town,Ipswich,Portman Road
