match_id,season_id,date,home_team,away_team,home_score,away_score,status,stadium,attendance
7467,20,"Sat 13 Aug 2011, 15:00 BST",3,38,1,2,C,Ewood Park,21996
7468,20,"Sat 13 Aug 2011, 15:00 BST",34,2,0,0,C,Craven Cottage,25700
7469,20,"Sat 13 Aug 2011, 15:00 BST",10,29,1,1,C,Anfield,45018
7471,20,"Sat 13 Aug 2011, 15:00 BST",17,27,0,4,C,Kiyan Prince Foundation Stadium,15195
7472,20,"Sat 13 Aug 2011, 15:00 BST",39,14,1,1,C,DW Stadium,17454
7470,20,"Sat 13 Aug 2011, 17:30 BST",23,1,0,0,C,St James' Park,46894
7473,20,"Sun 14 Aug 2011, 13:30 BST",42,4,0,0,C,bet365 Stadium,27421
7474,20,"Sun 14 Aug 2011, 16:00 BST",36,12,1,2,C,The Hawthorns,25360
7475,20,"Mon 15 Aug 2011, 20:00 BST",11,45,4,0,C,Etihad Stadium,46802
7480,20,"Sat 20 Aug 2011, 12:00 BST",29,23,0,1,C,Stadium of Light,47751
7476,20,"Sat 20 Aug 2011, 12:45 BST",1,10,0,2,C,Emirates Stadium,60090
7477,20,"Sat 20 Aug 2011, 15:00 BST",2,3,3,1,C,Villa Park,32319
7479,20,"Sat 20 Aug 2011, 15:00 BST",7,17,0,1,C,Goodison Park,35008
7481,20,"Sat 20 Aug 2011, 15:00 BST",45,39,0,0,C,Liberty Stadium,19028
7478,20,"Sat 20 Aug 2011, 17:30 BST",4,36,2,1,C,Stamford Bridge,41091
7483,20,"Sun 21 Aug 2011, 13:30 BST",14,42,1,1,C,Carrow Road,26272
7484,20,"Sun 21 Aug 2011, 14:00 BST",38,34,2,0,C,Molineux Stadium,22657
7482,20,"Sun 21 Aug 2011, 16:00 BST",27,11,2,3,C,Toughsheet Community Stadium,24273
7485,20,"Mon 22 Aug 2011, 20:00 BST",12,21,3,0,C,Old Trafford,75498
7486,20,"Sat 27 Aug 2011, 12:05 BST",2,38,0,0,C,Villa Park,30776
7491,20,"Sat 27 Aug 2011, 12:30 BST",39,17,2,0,C,DW Stadium,17225
7487,20,"Sat 27 Aug 2011, 15:00 BST",3,7,0,1,C,Ewood Park,22826
7488,20,"Sat 27 Aug 2011, 15:00 BST",4,14,3,1,C,Stamford Bridge,41765
7490,20,"Sat 27 Aug 2011, 15:00 BST",45,29,0,0,C,Liberty Stadium,19938
7489,20,"Sat 27 Aug 2011, 17:30 BST",10,27,3,1,C,Anfield,44725
7493,20,"Sun 28 Aug 2011, 13:00 BST",23,34,2,1,C,St James' Park,42684
7494,20,"Sun 28 Aug 2011, 13:30 BST",21,11,1,5,C,White Hart Lane,36150
7495,20,"Sun 28 Aug 2011, 15:00 BST",36,42,0,1,C,The Hawthorns,22909
7492,20,"Sun 28 Aug 2011, 16:00 BST",12,1,8,2,C,Old Trafford,75448
7496,20,"Sat 10 Sep 2011, 15:00 BST",1,45,1,0,C,Emirates Stadium,60087
7498,20,"Sat 10 Sep 2011, 15:00 BST",7,2,2,2,C,Goodison Park,32736
