team_id,name,short_name,founded,stadium,capacity
1,Arsenal,Arsenal,,Emirates Stadium,60272
2,Aston Villa,Aston Villa,,Villa Park,42682
43,Burnley,Burnley,,Turf Moor,21401
4,Chelsea,Chelsea,,Stamford Bridge,41798
6,Crystal Palace,Crystal Palace,,Selhurst Park,25073
7,Everton,Everton,,Goodison Park,39571
41,Hull City,Hull,,KCOM Stadium,25400
26,Leicester City,Leicester,,King Power Stadium,32312
10,Liverpool,Liverpool,,Anfield,45276
11,Manchester City,Man City,,Etihad Stadium,46708
12,Manchester United,Man Utd,,Old Trafford,75635
23,Newcastle United,Newcastle,,St. James' Park,52405
17,Queens Park Rangers,QPR,,Loftus Road,18000
20,Southampton,Southampton,,St. Mary's Stadium,32505
42,Stoke City,Stoke,,Britannia Stadium,27740
29,Sunderland,Sunderland,,Stadium of Light,48707
45,Swansea City,Swansea,,Liberty Stadium,20827
21,Tottenham Hotspur,Spurs,,White Hart Lane,36284
36,West Bromwich Albion,West Brom,,The Hawthorns,26445
25,West Ham United,West Ham,,Boleyn Ground,35345
