team_id,season_id,position,played,wins,draws,losses,goals_for,goals_against,points,clean_sheets,goal_difference
11,79,1,0,0,0,0,0,0,0,0,0
12,79,2,0,0,0,0,0,0,0,0,0
21,79,3,0,0,0,0,0,0,0,0,0
10,79,4,0,0,0,0,0,0,0,0,0
4,79,5,0,0,0,0,0,0,0,0,0
1,79,6,0,0,0,0,0,0,0,0,0
43,79,7,0,0,0,0,0,0,0,0,0
7,79,8,0,0,0,0,0,0,0,0,0
26,79,9,0,0,0,0,0,0,0,0,0
23,79,10,0,0,0,0,0,0,0,0,0
6,79,11,0,0,0,0,0,0,0,0,0
127,79,12,0,0,0,0,0,0,0,0,0
25,79,13,0,0,0,0,0,0,0,0,0
33,79,14,0,0,0,0,0,0,0,0,0
131,79,15,0,0,0,0,0,0,0,0,0
159,79,16,0,0,0,0,0,0,0,0,0
20,79,17,0,0,0,0,0,0,0,0,0
45,79,18,0,0,0,0,0,0,0,0,0
42,79,19,0,0,0,0,0,0,0,0,0
36,79,20,0,0,0,0,0,0,0,0,0
