player_id,name,position,nationality
19970,Max Aarons,D,England
117754,Zach Abbott,D,England
51536,Terry Ablade,F,Finland
125075,Josh Acheampong,D,England
42894,Tyler Adams,M,United States
13549,Tosin Adarabioyo,D,England
72541,Tayo Adaramola,D,Ireland
14685,Elijah Adebayo,F,England
108693,Valintino Adedokun,D,Ireland
126317,Simon Adingra,F,Cote D’Ivoire
114666,Adler Nascimento,F,Portugal
4852,Adrián,G,Spain
128023,Daniel Adu-Adjei,F,England
108628,Nayef Aguerd,D,Morocco
134486,Brandon Aguilera,M,Costa Rica
134487,Enock Agyei,F,Belgium
68086,Naouirou Ahamada,M,France
20855,Anel Ahmedhodzic,D,Bosnia & Herzegovina
10439,Ola Aina,D,Nigeria
71432,Rayan Aït-Nouri,D,Algeria
20113,Kristoffer Ajer,D,Norway
15656,Manuel Akanji,D,Switzerland
4499,Nathan Aké,D,Netherlands
116827,Ameen Al Dakhil,D,Belgium
5264,Thiago Alcântara,M,Spain
5467,Alex Telles,D,Brazil
14732,Trent Alexander-Arnold,D,England
20559,Alisson Becker,G,Brazil
117565,Sonny Aljofree,D,England
115157,Allan Campbell,M,Scotland
127741,Josh Allen,F,England
111022,Max Alleyne,D,England
9167,Dele Alli,M,England
54312,Miguel Almirón,M,Paraguay
52723,Julián Alvarez,F,Argentina
20723,Steven Alzate,M,Colombia
133503,Harry Amass,D,England
128449,Zeki Amdouni,F,Switzerland
128364,Samuel Amissah,D,England
19731,Ethan Ampadu,D,Wales
22744,Sofyan Amrabat,M,Morocco
48689,Joseph Anang,G,England
26151,Joachim Andersen,D,Denmark
51593,Elliot Anderson,M,England
5061,André Gomes,M,Portugal
10476,Andreas Pereira,M,Brazil
133245,Andrey Santos,M,Brazil
121739,Vincent Angelini,G,Scotland
136833,Ângelo,F,Brazil
24708,Tino Anjorin,M,England
50460,Jaidon Anthony,F,England
14624,Antonee Robinson,D,United States
9595,Michail Antonio,F,Jamaica
75381,Antony,F,Brazil
51631,Keenan Appiah-Forson,M,England
119457,Oliver Arblaster,M,England
25281,Cameron Archer,F,England
5748,Alphonse Areola,G,France
8050,Harry Arter,M,Ireland
138109,Benjamin Arthur,D,England
31883,Harrison Ashby,D,Scotland
74963,Lorenz Assignon,D,France
119277,Noël Atom,D,Germany
5110,Pierre-Emerick Aubameyang,F,Gabon
11293,Sèrge Aurier,D,Cote D’Ivoire
15114,Brandon Austin,G,England
15340,Taiwo Awoniyi,F,Nigeria
134333,Yasin Ayari,M,Sweden
5595,Jordan Ayew,F,Ghana
4496,César Azpilicueta,D,Spain
13279,Abdul Baba,D,Ghana
53612,Benoît Badiashile,D,France
20489,Leon Bailey,M,Jamaica
12937,Eric Bailly,D,Cote D’Ivoire
114296,Stefan Bajcetic,M,Spain
62917,Benicio Baker-Boaitey,M,England
21317,Ellery Balcombe,G,England
9169,George Baldock,D,Greece
124396,Carlos Baleba,M,Cameroon
139402,Emilio Ballard-Matthews,F,England
20959,Fodé Ballo-Touré,D,Senegal
127820,Kofi Balmer,D,Northern Ireland
19871,Folarin Balogun,F,United States
74776,Scott Banks,M,Scotland
24773,Shandon Baptiste,M,Grenada
120417,Valentín Barco,D,Argentina
4115,Ross Barkley,M,England
8246,Ashley Barnes,F,England
66548,Ty Barnett,F,England
117451,Luca Barrington,F,England
3581,Chris Basham,D,England
23793,Calvin Bassey,D,Nigeria
11331,Samuel Bastien,M,DR Congo
114056,Joe Bauress,F,England
14568,Nathan Baxter,G,England
71744,Altay Bayindir,G,Turkiye
113713,Eddie Beach,G,Wales
25540,Mads Bech,D,Denmark
66565,Owen Beck,D,Wales
2537,Asmir Begovic,G,Bosnia & Herzegovina
8923,Amari'i Bell,D,Jamaica
126108,Jean-Ricner Bellegarde,M,France
118095,Anis Ben Slimane,M,Tunisia
31671,Steven Benda,G,Germany
107833,Rhys Bennett,D,England
20517,Saïd Benrahma,F,Algeria
22802,Rodrigo Bentancur,M,Uruguay
9651,Dan Bentley,G,England
21614,Sander Berge,M,Norway
65641,Lucas Bergström,G,Finland
5067,Bernardo Silva,M,Portugal
8303,Luke Berry,M,England
126789,Beto,F,Guinea-Bissau
4511,Marcus Bettinelli,G,England
35699,Jordan Beyer,D,Germany
54000,Giulian Biancone,D,France
66647,Mads Bidstrup,M,Denmark
33175,Mika Biereth,F,Denmark
8882,Philip Billing,M,Denmark
21881,Nathan Bishop,G,England
50245,Yves Bissouma,M,Mali
132200,Billy Blacker,F,England
53007,Malachi Boateng,M,England
66657,Oscar Bobb,M,Norway
14608,Jayden Bogle,D,England
52175,Bendegúz Bolla,D,Hungary
16204,Willy-Arnaud Boly,D,Cote D’Ivoire
107805,Alex Borto,G,United States
49908,Sven Botman,D,Netherlands
115438,Aaron Bott,G,England
8868,Jarrod Bowen,F,England
21991,Josh Bowler,F,England
68582,Conor Bradley,D,Northern Ireland
66318,Jarrad Branthwaite,D,England
14242,Ben Brereton,F,Chile
14742,Rhian Brewster,F,England
69812,Ethan Brierley,M,England
31442,Armando Broja,F,Albania
33347,Josh Brooking,D,England
13706,David Brooks,M,Wales
21127,Jacob Brown,F,Scotland
9457,Josh Brownhill,M,England
23396,Bruno Fernandes,M,Portugal
74761,Bruno Guimarães,M,Brazil
25191,Bruno Jordão,M,Portugal
19831,Jacob Bruun Larsen,F,Denmark
8185,Joe Bryan,D,England
26408,Emiliano Buendía,M,Argentina
66692,Hugo Bueno,D,Spain
133430,Facundo Buonanotte,M,Argentina
138151,Jake Burger,M,England
9982,Reece Burke,D,England
8707,Dan Burn,D,England
117974,Mason Burstow,F,England
4634,Jack Butland,G,England
51479,Nathan Butler-Oyedeji,F,England
130411,Jili Buyabu,D,England
7602,Cafú,M,Portugal
112203,Moisés Caicedo,M,Ecuador
3894,Tom Cairney,M,Scotland
9576,Dominic Calvert-Lewin,F,England
75105,Elijah Campbell,D,England
51519,Thomas Cannon,F,Ireland
