team_id,season_id,position,played,wins,draws,losses,goals_for,goals_against,points,clean_sheets,goal_difference
12,19,1,0,0,0,0,0,0,0,0,0
4,19,2,0,0,0,0,0,0,0,0,0
11,19,3,0,0,0,0,0,0,0,0,0
1,19,4,0,0,0,0,0,0,0,0,0
21,19,5,0,0,0,0,0,0,0,0,0
10,19,6,0,0,0,0,0,0,0,0,0
7,19,7,0,0,0,0,0,0,0,0,0
34,19,8,0,0,0,0,0,0,0,0,0
2,19,9,0,0,0,0,0,0,0,0,0
29,19,10,0,0,0,0,0,0,0,0,0
36,19,11,0,0,0,0,0,0,0,0,0
23,19,12,0,0,0,0,0,0,0,0,0
42,19,13,0,0,0,0,0,0,0,0,0
27,19,14,0,0,0,0,0,0,0,0,0
3,19,15,0,0,0,0,0,0,0,0,0
39,19,16,0,0,0,0,0,0,0,0,0
38,19,17,0,0,0,0,0,0,0,0,0
35,19,18,0,0,0,0,0,0,0,0,0
44,19,19,0,0,0,0,0,0,0,0,0
25,19,20,0,0,0,0,0,0,0,0,0
