player_id,name,position,nationality
4114,Araz Abdullayev,M,Azerbaijan
4343,Mehdi Abeid,M,Algeria
2840,Abou Diaby,M,France
4147,Mohammed Abu,M,Ghana
4081,Charlie Adam,M,Scotland
3024,Dariusz Adamczuk,D,Poland
4181,Blair Adams,D,England
2845,Emmanuel Adebayor,F,Togo
4359,Tom Adeyemi,M,England
4345,Sammy Adjei,F,Ghana
4040,Benik Afobe,F,DR Congo
2622,Gabriel Agbonlahor,F,England
2916,Daniel Agger,D,Denmark
4328,Sergio Agüero,F,Argentina
4385,Patrick Agyemang,F,Ghana
4183,Ahmed El Mohamady,D,Egypt
4175,Phil Airey,F,England
4465,Matteo Alberti,M,Italy
3564,Marc Albrighton,M,England
4218,Antolín Alcáraz,D,Paraguay
2655,Alex,D,Brazil
3913,Alex Nimely,F,England
3826,Zac Aley,F,England
4410,Daniel Alfei,D,Wales
2871,Ali Al Habsi,G,Oman
4441,Scott Allan,M,Scotland
4413,Joe Allen,M,Wales
2607,Manuel Almunia,G,Spain
2972,Ben Alnwick,G,England
4093,Marcos Alonso,D,Spain
4176,Sammy Ameobi,F,England
3416,David Amoo,F,England
3663,Ben Amos,G,England
4265,Myles Anderson,D,England
4247,André Santos,M,Brazil
2584,Keith Andrews,M,Ireland
4035,Chuks Aneke,F,England
1135,Nicolas Anelka,F,France
4180,Marcos Angeleri,D,Argentina
4428,Lee Angol,F,England
2905,Victor Anichebe,F,Nigeria
3904,Alberto Aquilani,M,Italy
3944,Diego Arismendi,M,Uruguay
3550,Andrey Arshavin,M,Russia
2704,Mikel Arteta,M,Spain
3239,Benoit Assou-Ekotto,D,Cameroon
4146,Gai Assulin,M,Israel
3901,Daniel Ayala,D,Spain
4213,Demba Ba,F,Senegal
4393,Liam Bagnall,D,Northern Ireland
3030,Leighton Baines,D,England
2129,Chris Baird,D,Northern Ireland
3561,Nathan Baker,D,England
4376,Angelo Balanta,F,Colombia
3513,Gareth Bale,F,Wales
4361,Matt Ball,M,Northern Ireland
4152,Mario Balotelli,F,Italy
4291,Patrick Bamford,F,England
3565,Barry Bannan,M,Scotland
2517,Phil Bardsley,D,Scotland
4115,Ross Barkley,M,England
3866,Moses Barnett,D,England
1308,Gareth Barry,M,England
4427,Jack Barthram,D,England
3312,Kyle Bartley,D,England
2303,Joey Barton,M,England
3681,Sebastien Bassong,D,Cameroon
3988,Danny Batth,D,England
3608,Jose Baxter,F,England
3753,Craig Beattie,F,Scotland
4048,Jean Beausejour,M,Chile
4162,Bebé,F,Cape Verde
4116,Jermaine Beckford,F,Jamaica
3757,Roman Bednár,F,Czech Republic
2537,Asmir Begovic,G,Bosnia & Herzegovina
