match_id,season_id,date,home_team,away_team,home_score,away_score,status,stadium,attendance
93321,578,2023-08-12 04:00:00,43,11,0,3,C,Turf Moor,21572.0
93322,578,2023-08-12 21:00:00,1,15,2,1,C,Emirates Stadium,59984.0
93323,578,2023-08-12 23:00:00,127,25,1,1,C,Vitality Stadium,
93324,578,2023-08-12 23:00:00,131,163,4,1,C,American Express Stadium,31872.0
93325,578,2023-08-12 23:00:00,7,34,0,1,C,Goodison Park,39940.0
93327,578,2023-08-12 23:00:00,18,6,0,1,C,Bramall Lane,31194.0
93326,578,2023-08-13 01:30:00,23,2,5,1,C,St. James' Park,52207.0
93328,578,2023-08-13 22:00:00,130,21,2,2,C,Gtech Community Stadium,17066.0
93329,578,2023-08-14 00:30:00,4,10,1,1,C,Stamford Bridge,40096.0
93330,578,2023-08-15 04:00:00,12,38,1,0,C,Old Trafford,73358.0
93337,578,2023-08-19 03:45:00,15,18,2,1,C,The City Ground,29432.0
93333,578,2023-08-19 23:00:00,34,130,0,3,C,Craven Cottage,24236.0
93334,578,2023-08-19 23:00:00,10,127,3,1,C,Anfield,49699.0
93340,578,2023-08-19 23:00:00,38,131,1,4,C,Molineux Stadium,31317.0
93338,578,2023-08-20 01:30:00,21,12,2,0,C,Tottenham Hotspur Stadium,61910.0
93336,578,2023-08-20 04:00:00,11,23,1,0,C,Etihad Stadium,
93331,578,2023-08-20 22:00:00,2,7,4,0,C,Villa Park,41694.0
93339,578,2023-08-21 00:30:00,25,4,3,1,C,London Stadium,62470.0
93332,578,2023-08-22 04:00:00,6,1,0,1,C,Selhurst Park,24189.0
93346,578,2023-08-26 04:00:00,4,163,3,0,C,Stamford Bridge,39893.0
93342,578,2023-08-26 20:30:00,127,21,0,2,C,Vitality Stadium,10567.0
93341,578,2023-08-26 23:00:00,1,34,2,2,C,Emirates Stadium,59961.0
93343,578,2023-08-26 23:00:00,130,6,1,1,C,Gtech Community Stadium,16997.0
93347,578,2023-08-26 23:00:00,7,38,0,1,C,Goodison Park,38851.0
93348,578,2023-08-26 23:00:00,12,15,3,2,C,Old Trafford,73595.0
93344,578,2023-08-27 01:30:00,131,25,1,3,C,American Express Stadium,31508.0
93345,578,2023-08-27 22:00:00,43,2,1,3,C,Turf Moor,21591.0
93350,578,2023-08-27 22:00:00,18,11,1,2,C,Bramall Lane,31336.0
93349,578,2023-08-28 00:30:00,23,10,1,2,C,St. James' Park,52214.0
93358,578,2023-09-02 04:00:00,163,25,1,2,C,Kenilworth Road,10802.0
93360,578,2023-09-02 20:30:00,18,7,2,2,C,Bramall Lane,31124.0
93352,578,2023-09-02 23:00:00,130,127,2,2,C,Gtech Community Stadium,16973.0
93354,578,2023-09-02 23:00:00,43,21,2,5,C,Turf Moor,21750.0
93355,578,2023-09-02 23:00:00,4,15,0,1,C,Stamford Bridge,39820.0
93359,578,2023-09-02 23:00:00,11,34,5,1,C,Etihad Stadium,52899.0
93353,578,2023-09-03 01:30:00,131,23,3,1,C,American Express Stadium,31620.0
93356,578,2023-09-03 22:00:00,6,38,3,2,C,Selhurst Park,24741.0
93357,578,2023-09-03 22:00:00,10,2,3,0,C,Anfield,50109.0
93351,578,2023-09-04 00:30:00,1,12,3,1,C,Emirates Stadium,60192.0
93370,578,2023-09-16 20:30:00,38,10,1,3,C,Molineux Stadium,31257.0
93361,578,2023-09-16 23:00:00,2,6,3,1,C,Villa Park,40809.0
93364,578,2023-09-16 23:00:00,34,163,1,0,C,Craven Cottage,24467.0
93365,578,2023-09-16 23:00:00,12,131,1,3,C,Old Trafford,73592.0
93368,578,2023-09-16 23:00:00,21,18,2,1,C,Tottenham Hotspur Stadium,61706.0
93369,578,2023-09-16 23:00:00,25,11,1,3,C,London Stadium,62475.0
93366,578,2023-09-17 01:30:00,23,130,1,0,C,St. James' Park,51670.0
93362,578,2023-09-17 22:00:00,127,4,0,0,C,Vitality Stadium,10421.0
93363,578,2023-09-18 00:30:00,7,1,0,1,C,Goodison Park,39217.0
93367,578,2023-09-19 03:45:00,15,43,1,1,C,The City Ground,28958.0
93376,578,2023-09-23 23:00:00,6,34,0,0,C,Selhurst Park,25072.0
93378,578,2023-09-23 23:00:00,163,38,1,1,C,Kenilworth Road,10893.0
93379,578,2023-09-23 23:00:00,11,15,2,0,C,Etihad Stadium,53413.0
93372,578,2023-09-24 01:30:00,130,7,1,3,C,Gtech Community Stadium,16981.0
93374,578,2023-09-24 04:00:00,43,12,0,1,C,Turf Moor,21593.0
93371,578,2023-09-24 22:00:00,1,21,2,2,C,Emirates Stadium,60156.0
93373,578,2023-09-24 22:00:00,131,127,3,1,C,American Express Stadium,31617.0
93375,578,2023-09-24 22:00:00,4,2,0,1,C,Stamford Bridge,39700.0
93377,578,2023-09-24 22:00:00,10,25,3,1,C,Anfield,50136.0
93380,578,2023-09-25 00:30:00,18,23,0,8,C,Bramall Lane,30568.0
93381,578,2023-09-30 20:30:00,2,131,6,1,C,Villa Park,40636.0
93382,578,2023-09-30 23:00:00,127,1,0,4,C,Vitality Stadium,11193.0
93383,578,2023-09-30 23:00:00,7,163,1,2,C,Goodison Park,39289.0
93385,578,2023-09-30 23:00:00,12,6,0,1,C,Old Trafford,73428.0
93386,578,2023-09-30 23:00:00,23,43,2,0,C,St. James' Park,52163.0
93389,578,2023-09-30 23:00:00,25,18,2,0,C,London Stadium,62459.0
93390,578,2023-09-30 23:00:00,38,11,2,1,C,Molineux Stadium,31415.0
93388,578,2023-10-01 01:30:00,21,10,2,1,C,Tottenham Hotspur Stadium,62001.0
93387,578,2023-10-01 22:00:00,15,130,1,1,C,The City Ground,29004.0
93384,578,2023-10-03 04:00:00,34,4,0,2,C,Craven Cottage,24445.0
93335,578,2023-10-04 03:30:00,163,43,1,2,C,Kenilworth Road,10918.0
93397,578,2023-10-07 20:30:00,163,21,0,1,C,Kenilworth Road,10929.0
93393,578,2023-10-07 23:00:00,43,4,1,4,C,Turf Moor,21654.0
93395,578,2023-10-07 23:00:00,7,127,3,0,C,Goodison Park,38815.0
93396,578,2023-10-07 23:00:00,34,18,3,1,C,Craven Cottage,24361.0
93398,578,2023-10-07 23:00:00,12,130,2,1,C,Old Trafford,73453.0
93394,578,2023-10-08 01:30:00,6,15,0,0,C,Selhurst Park,25017.0
93392,578,2023-10-08 22:00:00,131,10,2,2,C,American Express Stadium,31752.0
93399,578,2023-10-08 22:00:00,25,23,2,2,C,London Stadium,
93400,578,2023-10-08 22:00:00,38,2,1,1,C,Molineux Stadium,
93391,578,2023-10-09 00:30:00,1,11,1,0,C,Emirates Stadium,60233.0
93405,578,2023-10-21 20:30:00,10,7,2,0,C,Anfield,50201.0
93402,578,2023-10-21 23:00:00,127,38,1,2,C,Vitality Stadium,11175.0
93403,578,2023-10-21 23:00:00,130,43,3,0,C,Gtech Community Stadium,17029.0
93406,578,2023-10-21 23:00:00,11,131,2,1,C,Etihad Stadium,53466.0
93407,578,2023-10-21 23:00:00,23,6,4,0,C,St. James' Park,52189.0
93408,578,2023-10-21 23:00:00,15,163,2,2,C,The City Ground,29361.0
93404,578,2023-10-22 01:30:00,4,1,2,2,C,Stamford Bridge,39723.0
93409,578,2023-10-22 04:00:00,18,12,1,2,C,Bramall Lane,31543.0
93401,578,2023-10-23 00:30:00,2,25,4,1,C,Villa Park,41734.0
93410,578,2023-10-24 04:00:00,21,34,2,0,C,Tottenham Hotspur Stadium,61286.0
93416,578,2023-10-28 04:00:00,6,21,1,2,C,Selhurst Park,25074.0
93415,578,2023-10-28 20:30:00,4,130,0,2,C,Stamford Bridge,39575.0
93411,578,2023-10-28 23:00:00,1,18,5,0,C,Emirates Stadium,60153.0
93413,578,2023-10-28 23:00:00,127,43,2,1,C,Vitality Stadium,11152.0
93420,578,2023-10-29 01:30:00,38,23,2,2,C,Molineux Stadium,31584.0
93419,578,2023-10-29 22:00:00,25,7,0,1,C,London Stadium,62469.0
93412,578,2023-10-29 23:00:00,2,163,3,1,C,Villa Park,41785.0
93414,578,2023-10-29 23:00:00,131,34,1,1,C,American Express Stadium,31550.0
93417,578,2023-10-29 23:00:00,10,15,3,0,C,Anfield,50143.0
93418,578,2023-10-30 00:30:00,12,11,0,3,C,Old Trafford,73502.0
93424,578,2023-11-04 21:30:00,34,12,0,1,C,Craven Cottage,24415.0
93421,578,2023-11-05 00:00:00,130,25,3,2,C,Gtech Community Stadium,17103.0
93422,578,2023-11-05 00:00:00,43,6,0,2,C,Turf Moor,21578.0
93423,578,2023-11-05 00:00:00,7,131,1,1,C,Goodison Park,38683.0
93426,578,2023-11-05 00:00:00,11,127,6,1,C,Etihad Stadium,53358.0
93429,578,2023-11-05 00:00:00,18,38,2,1,C,Bramall Lane,29454.0
93427,578,2023-11-05 02:30:00,23,1,1,0,C,St. James' Park,52194.0
93428,578,2023-11-05 23:00:00,15,2,2,0,C,The City Ground,29313.0
93425,578,2023-11-06 01:30:00,163,10,1,1,C,Kenilworth Road,11049.0
93430,578,2023-11-07 05:00:00,21,4,1,4,C,Tottenham Hotspur Stadium,61726.0
93440,578,2023-11-11 21:30:00,38,21,2,1,C,Molineux Stadium,31642.0
93431,578,2023-11-12 00:00:00,1,43,3,1,C,Emirates Stadium,60232.0
93436,578,2023-11-12 00:00:00,6,7,2,3,C,Selhurst Park,25103.0
93438,578,2023-11-12 00:00:00,12,163,1,0,C,Old Trafford,73599.0
93433,578,2023-11-12 02:30:00,127,23,2,0,C,Vitality Stadium,11201.0
93432,578,2023-11-12 23:00:00,2,34,3,1,C,Villa Park,41608.0
93434,578,2023-11-12 23:00:00,131,18,1,1,C,American Express Stadium,31367.0
93437,578,2023-11-12 23:00:00,10,130,3,0,C,Anfield,50151.0
93439,578,2023-11-12 23:00:00,25,15,3,2,C,London Stadium,62470.0
93435,578,2023-11-13 01:30:00,4,11,4,4,C,Stamford Bridge,39532.0
93446,578,2023-11-25 21:30:00,11,10,1,1,C,Etihad Stadium,53289.0
93442,578,2023-11-26 00:00:00,43,25,1,2,C,Turf Moor,21319.0
93445,578,2023-11-26 00:00:00,163,6,2,1,C,Kenilworth Road,11029.0
93447,578,2023-11-26 00:00:00,23,4,4,1,C,St. James' Park,52227.0
93448,578,2023-11-26 00:00:00,15,131,2,3,C,The City Ground,29404.0
93449,578,2023-11-26 00:00:00,18,127,1,3,C,Bramall Lane,30208.0
93441,578,2023-11-26 02:30:00,130,1,0,1,C,Gtech Community Stadium,17201.0
93450,578,2023-11-26 23:00:00,21,2,1,2,C,Tottenham Hotspur Stadium,61679.0
93443,578,2023-11-27 01:30:00,7,12,0,3,C,Goodison Park,39257.0
93444,578,2023-11-28 05:00:00,34,38,3,2,C,Craven Cottage,24366.0
93451,578,2023-12-03 00:00:00,1,38,2,1,C,Emirates Stadium,60262.0
93453,578,2023-12-03 00:00:00,130,163,3,1,C,Gtech Community Stadium,17075.0
93454,578,2023-12-03 00:00:00,43,18,5,0,C,Turf Moor,20891.0
93459,578,2023-12-03 02:30:00,15,7,0,1,C,The City Ground,29404.0
93458,578,2023-12-03 05:00:00,23,12,1,0,C,St. James' Park,52214.0
93452,578,2023-12-03 23:00:00,127,2,2,2,C,Vitality Stadium,11191.0
93455,578,2023-12-03 23:00:00,4,131,3,2,C,Stamford Bridge,39647.0
93456,578,2023-12-03 23:00:00,10,34,4,3,C,Anfield,50143.0
93460,578,2023-12-03 23:00:00,25,6,1,1,C,London Stadium,62459.0
93457,578,2023-12-04 01:30:00,11,21,3,3,C,Etihad Stadium,53473.0
93469,578,2023-12-06 04:30:00,38,43,1,0,C,Molineux Stadium,30439.0
93466,578,2023-12-06 05:15:00,163,1,3,4,C,Kenilworth Road,11112.0
93462,578,2023-12-07 04:30:00,131,130,2,1,C,American Express Stadium,30760.0
93463,578,2023-12-07 04:30:00,6,127,0,2,C,Selhurst Park,25078.0
93465,578,2023-12-07 04:30:00,34,15,5,0,C,Craven Cottage,24105.0
93467,578,2023-12-07 04:30:00,18,10,0,2,C,Bramall Lane,31406.0
93461,578,2023-12-07 05:15:00,2,11,1,0,C,Villa Park,41421.0
93470,578,2023-12-07 05:15:00,12,4,2,1,C,Old Trafford,73607.0
93464,578,2023-12-08 04:30:00,7,23,3,0,C,Goodison Park,38198.0
93468,578,2023-12-08 05:15:00,21,25,1,2,C,Tottenham Hotspur Stadium,60733.0
93473,578,2023-12-09 21:30:00,6,10,1,2,C,Selhurst Park,25103.0
93472,578,2023-12-10 00:00:00,131,43,1,1,C,American Express Stadium,31511.0
93477,578,2023-12-10 00:00:00,12,127,0,3,C,Old Trafford,73427.0
93478,578,2023-12-10 00:00:00,18,130,1,0,C,Bramall Lane,28509.0
93480,578,2023-12-10 00:00:00,38,15,1,1,C,Molineux Stadium,31543.0
93471,578,2023-12-10 02:30:00,2,1,1,0,C,Villa Park,42000.0
