player_id,full_name,birth_date,nationality,position,market_value
10483,Rolando Aarons,16 November 1995,Jamaica,M,
4081,Charlie Adam,10 December 1985,Scotland,M,
4968,Ibrahim Afellay,2 April 1986,Netherlands,M,
33112,Ali Gabr,10 January 1989,Egypt,D,
4413,Joe Allen,14 March 1990,Wales,M,
3732,Ryan Allsop,17 June 1992,England,G,1000000.0
4835,Jordi Amat,21 March 1992,Indonesia,D,
5490,Nordin Amrabat,31 March 1987,Morocco,F,
8234,Tom Anderson,2 September 1993,England,D,
4550,Vurnon Anita,4 April 1989,Curacao,M,
8242,Scott Arfield,1 November 1988,Canada,M,
7175,Giedrius Arlauskis,1 December 1987,Lithuania,G,
20538,Badou Ndiaye,27 October 1990,Senegal,M,
8457,Courtney Baker-Richardson,5 December 1995,England,F,
15030,Lewis Banks,14 April 1997,England,D,
10520,Modou Barrow,13 October 1992,Gambia,F,
1308,Gareth Barry,23 February 1981,England,M,
32838,Moritz Bauer,25 January 1992,Austria,D,
3608,Jose Baxter,7 February 1992,England,F,
3765,Valon Behrami,19 April 1985,Switzerland,M,
20879,Yasin Ben El-Mhanni,26 October 1995,England,M,
4205,Saido Berahino,4 August 1993,Burundi,F,
6215,Steven Berghuis,19 December 1991,Netherlands,F,4000000.0
10426,Krystian Bielik,4 January 1998,Poland,D,3200000.0
19655,Mark Birighitti,17 April 1991,Australia,G,
13231,Henrik Bjørdal,4 February 1997,Norway,F,
4769,Hiram Boateng,8 January 1996,England,M,
4898,Bojan,28 August 1990,Spain,F,
4838,Wilfried Bony,10 December 1988,Cote D’Ivoire,F,
13475,Regan Booty,4 March 1998,England,M,
13560,Cameron Borthwick-Jackson,2 February 1997,England,D,
4788,George Boyd,2 October 1985,Scotland,F,
21627,Cohen Bramall,2 April 1996,England,D,
9032,Cameron Brannagan,9 May 1996,England,M,
2152,Leon Britton,16 September 1982,England,M,
13873,Marcus Browne,18 December 1997,England,M,
3744,Chris Brunt,14 December 1984,Northern Ireland,M,
8892,Harry Bunn,21 November 1992,England,F,
10956,George Byers,29 May 1996,Scotland,M,
14547,Tom Cadman,4 May 1998,Ireland,D,
4636,Geoff Cameron,11 July 1985,United States,D,
4254,Joel Campbell,26 June 1992,Costa Rica,F,
4844,Nacer Chadli,2 August 1989,Belgium,M,
4105,Nathaniel Chalobah,12 December 1994,England,M,1000000.0
14632,Harry Charsley,1 November 1996,Ireland,M,
11191,Eric Choupo-Moting,23 March 1989,Cameroon,F,
9100,Sam Clucas,25 September 1990,England,M,
10268,Luke Coddington,6 June 1995,England,G,
23739,Michael Collins,22 September 2000,England,D,28000000.0
15094,Brandon Cooper,14 January 2000,Wales,D,
3549,Francis Coquelin,13 May 1991,France,M,1000000.0
8389,Tendayi Darikwa,13 December 1991,Zimbabwe,D,
2985,Daryl Murphy,15 March 1983,Ireland,F,
10526,Jason Davidson,29 June 1991,Australia,D,
4885,Siem de Jong,28 January 1989,Netherlands,M,
14834,Zachary Dearnley,28 September 1998,England,F,
4546,Mathieu Debuchy,28 July 1985,France,D,
3925,Mame Diouf,16 December 1987,Senegal,F,
2341,Nathan Dyer,29 November 1987,England,M,
15038,Tom Edwards,22 January 1999,England,D,
21468,Andrew Eleftheriou,8 November 1997,England,D,
7564,Sofiane Féghouli,26 December 1989,Algeria,M,
4810,Leroy Fer,5 January 1990,Netherlands,M,
5344,Fernando,25 July 1987,Brazil,M,
5144,Stuart Findlay,14 September 1995,Scotland,D,
1943,Darren Fletcher,1 February 1984,Scotland,M,
7482,Jay Fulton,1 April 1994,Scotland,M,1000000.0
10423,Gabriel Paulista,26 November 1990,Brazil,D,1100000.0
5937,Florin Gardos,29 October 1988,Romania,D,
14830,Angel Gomes,31 August 2000,England,M,20000000.0
4547,Curtis Good,23 March 1993,Australia,D,
4554,Yoan Gouffran,25 May 1986,France,M,
12815,Max Gradel,30 November 1987,Cote D’Ivoire,M,
8650,Matt Grimes,15 July 1995,England,M,6000000.0
15027,Daniel Gyollai,7 April 1997,Hungary,G,
20869,Ollie Harfield,9 January 1998,England,D,
13777,Jakob Haugaard,1 May 1992,Denmark,G,
21858,Ryan Hill,19 March 1998,England,M,
9936,Tommie Hoban,24 January 1994,Ireland,D,
13191,Jordan Holmes,8 May 1997,Australia,G,
2074,Mark Hudson,30 March 1982,England,D,
13230,Rob Hunt,7 July 1995,England,D,
5772,Zlatan Ibrahimovic,3 October 1981,Sweden,F,
5588,Giannelli Imbula,12 September 1992,DR Congo,M,
2928,Stephen Ireland,22 August 1986,Ireland,M,
13246,Brad Jackson,20 October 1996,England,M,
13797,Daniel James,10 November 1997,Wales,M,18000000.0
21886,Kyle Jameson,11 September 1998,England,D,
4541,Adnan Januzaj,5 February 1995,Belgium,M,1200000.0
5803,Jesé,26 February 1993,Spain,F,
4606,José Fonte,22 December 1983,Portugal,D,
10517,Stephen Kingsley,23 July 1994,Scotland,D,
4141,Aleksandar Kolarov,10 November 1985,Serbia,D,
12735,Grzegorz Krychowiak,29 January 1990,Poland,M,2500000.0
14776,Joel Latibeaudiere,6 January 2000,Jamaica,D,3000000.0
5561,Tom Lawrence,13 January 1994,Wales,F,2000000.0
16550,Filip Lesniak,14 May 1996,Slovakia,M,
3173,Kazenga LuaLua,10 December 1990,DR Congo,F,
3137,Lucas Leiva,9 January 1987,Brazil,M,
5566,Steve Mandanda,28 March 1985,France,G,
12374,Elvis Manu,13 August 1993,Ghana,F,
15404,Adnan Maric,17 February 1997,Sweden,M,
11177,Bruno Martins Indi,8 February 1992,Netherlands,D,
16275,Ales Mateju,3 June 1996,Czech Republic,D,1200000.0
4437,Gareth McAuley,5 December 1979,Northern Ireland,D,
4395,James McClean,22 April 1989,Ireland,M,
14447,Marcus McGuane,2 February 1999,England,M,
3779,Callum McManaman,25 April 1991,England,M,
15160,Max Melbourne,24 October 1998,England,D,
22575,Roque Mesa,7 June 1989,Spain,M,
13778,Moha,13 January 1996,Spain,M,55000000.0
10518,Jefferson Montero,1 September 1989,Ecuador,M,
2529,James Morrison,25 May 1986,Scotland,M,
12356,Erwin Mulder,3 March 1989,Netherlands,G,
4822,Muniesa,27 March 1992,Spain,D,
9581,Jamie Murphy,28 August 1989,Scotland,F,
2011,Boaz Myhill,9 November 1982,Wales,G,
6903,Clinton N'Jie,15 August 1993,Cameroon,F,
7122,Luciano Narsingh,13 September 1990,Netherlands,F,
3956,Kyle Naughton,17 November 1988,England,D,
15052,Julien Ngoy,2 November 1997,Belgium,F,
19604,Nolito,15 October 1986,Spain,F,
13795,Kristoffer Nordfeldt,23 June 1989,Sweden,G,
13821,Allan Nyom,10 May 1988,Cameroon,D,
20870,Keelan O'Connell,30 November 1999,England,M,
10425,Stefan O'Connor,23 January 1997,England,D,
13717,Olufela Olomola,5 September 1997,England,F,
2867,Martin Olsson,17 May 1988,Sweden,D,
10953,Juan Carlos Paredes,8 July 1987,Ecuador,D,
14144,Kleton Perntreou,8 January 1995,Greece,G,
14161,Michael Phillips,22 September 1997,England,D,
11013,Connor Randall,21 October 1995,England,D,
4405,Angel Rangel,28 November 1982,Spain,D,
4572,Loïc Rémy,2 January 1987,France,F,
16646,Renato Sanches,18 August 1997,Portugal,M,4000000.0
10488,Emmanuel Rivière,3 March 1990,Martinique,F,
2064,Wayne Rooney,24 October 1985,England,F,
2681,Wayne Routledge,7 January 1985,England,M,
14285,Charlie Rowan,14 December 1997,England,D,
4973,Alexis Sánchez,19 December 1988,Chile,F,2000000.0
15142,Samuel Shashoua,13 May 1999,England,M,
3158,Ryan Shawcross,4 October 1987,England,D,
13121,Ben Sheaf,5 February 1998,England,M,7000000.0
10507,Oliver Shenton,6 November 1997,England,M,
16608,Rubén Sobrino,1 June 1992,Spain,F,1000000.0
4679,Raphael Spiegel,19 December 1992,Switzerland,G,
4988,Konstantinos Stafylidis,2 December 1993,Greece,D,
4426,Kevin Stewart,7 September 1993,Jamaica,M,
4925,Mario Suárez,24 February 1987,Spain,D,
10556,Ryan Sweeney,15 April 1997,Ireland,D,
3543,Wojciech Szczesny,18 April 1990,Poland,G,1000000.0
15045,Lasse Sørensen,21 October 1999,Denmark,D,
10609,James Tilley,13 June 1998,England,F,
13477,Josh Tymon,22 May 1999,England,D,3200000.0
10435,Fredrik Ulvestad,17 June 1992,Norway,M,
4877,Mike van der Hoorn,15 October 1992,Netherlands,D,1200000.0
4809,Guillermo Varela,24 March 1993,Uruguay,D,1500000.0
15044,Thibaud Verlinden,9 July 1999,Belgium,F,1700000.0
8003,Mark Waddington,11 October 1996,England,M,
21730,Molla Wagué,21 February 1991,Mali,D,
2686,Ben Watson,9 July 1985,England,M,
16549,Will Miller,8 June 1996,England,M,
3471,Marc Wilson,17 August 1987,Ireland,M,
13813,Kevin Wimmer,15 November 1992,Austria,D,
4989,Philipp Wollscheid,6 March 1989,Germany,D,
15285,Matthew Worthington,18 December 1997,England,M,
4673,Claudio Yacob,18 July 1987,Argentina,M,
14626,Josef Yarney,8 October 1997,England,D,
22547,Zhang Yuning,5 January 1997,China,F,
3662,Ron-Robert Zieler,12 February 1989,Germany,G,
4482,Chuba Akpom,9 October 1995,England,F,8000000.0
14743,Paulo Alves,25 December 1997,Portugal,M,
14650,Taye Ashby-Hammond,21 March 1999,England,G,
19606,Floyd Ayité,15 December 1988,Togo,F,
3413,Ryan Babel,19 December 1986,Netherlands,F,
4721,Leandro Bacuna,21 August 1991,Curacao,M,
4711,Sam Baldock,15 March 1989,England,F,
20183,Leon Balogun,28 June 1988,Nigeria,D,
7500,Sol Bamba,13 January 1985,Cote D’Ivoire,D,
3672,Joe Bennett,28 March 1990,England,D,
4888,Daley Blind,9 March 1990,Netherlands,D,2000000.0
24299,Jack Bodenham,29 September 1999,Wales,D,
10441,Jérémie Boga,3 January 1997,Cote D’Ivoire,F,12000000.0
3348,Ádám Bogdán,27 September 1987,Hungary,G,
13468,Omar Bogle,26 July 1993,England,F,
32845,Ciaron Brown,14 January 1998,Northern Ireland,D,
8584,Craig Bryson,6 November 1986,Scotland,M,
15424,Harry Burgoyne,28 December 1996,England,G,
4341,Yohan Cabaye,14 January 1986,France,M,
4556,Lee Camp,22 August 1984,Northern Ireland,G,
5001,Emre Can,12 January 1994,Germany,M,7000000.0
9869,Baily Cargill,5 July 1995,England,D,
1634,Michael Carrick,28 July 1981,England,M,
4477,Santi Cazorla,13 December 1984,Spain,M,
19608,Chris Löwe,16 April 1989,Germany,D,
7431,Ibrahima Cissé,28 February 1994,Guinea,M,
14567,Bradley Collins,18 February 1997,England,G,1200000.0
51435,Connor Barrett,1 March 2002,England,D,
4911,Thibaut Courtois,11 May 1992,Belgium,G,25000000.0
14335,Cameron Coxe,18 December 1998,Wales,D,
5174,Cristián Cuevas,2 April 1995,Chile,D,
3906,Greg Cunningham,31 January 1991,Ireland,D,
23520,Loïc Damour,8 January 1991,France,M,
2423,Steven Davis,1 January 1985,Northern Ireland,M,
1911,Damien Delaney,20 July 1981,Ireland,D,
14643,Alex Denny,12 April 2000,England,M,
16747,Laurent Depoitre,7 December 1988,Belgium,F,
13899,Sylvain Deslandes,25 April 1997,France,D,
24253,Adama Diakhaby,5 July 1996,France,F,
3642,Diego Cavalieri,1 December 1982,Brazil,G,
5577,Brice Dja Djédjé,23 December 1990,Cote D’Ivoire,D,
14442,Vlad Dragomir,24 April 1999,Romania,M,1500000.0
6362,Aleksandar Dragovic,6 March 1991,Austria,D,1200000.0
14771,Demeaco Duhaney,13 October 1998,England,D,
23738,Stephen Duke-McKenna,17 August 2000,Guyana,M,
5097,Erik Durm,12 May 1992,Germany,D,
4231,Ethan Ebanks-Landell,16 December 1992,England,D,
10633,Bruno Ecuele Manga,16 July 1988,Gabon,D,
24347,Rarmani Edmonds-Green,14 January 1999,England,D,
12265,Eduardo,19 September 1982,Portugal,G,70000000.0
14658,Tayo Edun,14 May 1998,England,D,
4120,Neil Etheridge,7 February 1990,Philippines,G,
2934,Patrice Evra,15 May 1981,France,D,
3182,Adam Federici,31 January 1985,Australia,G,
7981,Liam Feeney,21 January 1987,England,M,
4129,Jon Flanagan,1 January 1993,England,D,
14298,Michael Folivi,25 February 1998,England,F,
13387,Ramiro Funes Mori,5 March 1991,Argentina,D,
9650,Sam Gallagher,15 September 1995,England,F,1600000.0
12946,Aleix García,28 June 1997,Spain,M,20000000.0
21964,Benjamín Garré,11 July 2000,Argentina,M,6000000.0
14453,Charlie Gilmour,11 February 1999,Scotland,M,
9634,Connor Goldson,18 December 1992,England,D,3500000.0
23747,Anthony Gordon,24 February 2001,England,F,65000000.0
11134,Jon Gorenc Stankovic,14 January 1996,Slovenia,M,4000000.0
19622,Frédéric Gounongbe,1 May 1988,Benin,F,
10146,Jordan Graham,5 March 1995,England,F,
10654,Karlan Grant,18 September 1997,England,F,3800000.0
2758,Robert Green,18 January 1980,England,G,
4736,Aron Gunnarsson,22 April 1989,Iceland,M,
12173,Florent Hadërgjonaj,31 July 1994,Kosovo,D,1600000.0
4545,Massadio Haïdara,2 December 1992,Mali,D,1800000.0
3192,Gregory Halford,8 December 1984,England,D,
3183,Ben Hamer,20 November 1987,England,G,
4856,Kadeem Harris,8 June 1993,England,M,
4503,Eden Hazard,7 January 1991,Belgium,F,
4743,Rhys Healey,6 December 1994,England,F,
19609,Michael Hefele,1 September 1990,Germany,D,
10855,Dion Henry,12 September 1997,England,G,
10949,Jordy Hiwula-Mayifuila,21 September 1994,England,F,
21691,Shaun Hobson,29 June 1998,England,D,
3801,Jonathan Hogg,6 December 1988,England,M,
3823,Junior Hoilett,5 June 1990,Canada,F,
8340,Tareiq Holmes-Dennis,31 October 1995,England,D,
23744,Fraser Hornby,13 September 1999,Scotland,F,1200000.0
24625,Sam Hughes,15 April 1997,England,D,
14341,Lloyd Humphries,3 October 1997,Wales,M,
13229,Uwe Hünemeier,9 January 1986,Germany,D,
15292,Des Hutchinson,5 December 1996,Ireland,M,
2053,Robert Huth,18 August 1984,Germany,D,
10734,Emerson Hyndman,9 April 1996,United States,M,
2570,Carl Ikeme,8 June 1986,Nigeria,G,
10542,Dejan Iliev,25 February 1995,North Macedonia,G,
4284,Rohan Ince,8 November 1992,Montserrat,M,
49150,Ben Jackson,22 February 2001,England,D,
14655,Moritz Jenz,30 April 1999,Germany,D,6000000.0
11070,Jesús Gámez,10 April 1985,Spain,D,
11355,João Mário,19 January 1993,Portugal,M,2300000.0
4732,Declan John,30 June 1995,Wales,D,
15122,Jonathan Dinzeyi,13 October 1999,England,D,
21848,Josh Gordon,10 October 1994,England,F,
19611,Elias Kachunga,22 April 1992,DR Congo,F,
14678,Mattias Käit,29 June 1998,Estonia,M,1200000.0
25311,Orestis Karnezis,11 July 1985,Greece,G,
20383,Olarenwaju Kayode,8 May 1993,Nigeria,F,
4508,Matthew Kennedy,1 November 1994,Northern Ireland,D,
4886,Davy Klaassen,21 February 1993,Netherlands,M,4000000.0
