player_id,name,position,nationality
4343,Mehdi Abeid,M,Algeria
2840,Abou Diaby,M,France
4147,Mohammed Abu,M,Ghana
4081,Charlie Adam,M,Scotland
4181,Blair Adams,D,England
2845,Emmanuel Adebayor,F,Togo
4359,Tom Adeyemi,M,England
10544,Krisztian Adorjan,M,Hungary
4040,Benik Afobe,F,DR Congo
2622,Gabriel Agbonlahor,F,England
2916,Daniel Agger,D,Denmark
4328,Sergio Agüero,F,Argentina
4183,Ahmed El Mohamady,D,Egypt
4499,Nathan Aké,D,Netherlands
3878,Hope Akpan,M,Nigeria
4482,Chuba Akpom,F,England
3564,Marc Albrighton,M,England
4218,Antolín Alcáraz,D,Paraguay
3913,Alex Nimely,F,England
4537,Alexander Büttner,D,Netherlands
4410,Daniel Alfei,D,Wales
2871,Ali Al Habsi,G,Oman
4441,Scott Allan,M,Scotland
4413,Joe Allen,M,Wales
4543,Jak Alnwick,G,England
2283,Alou Diarra,M,France
4551,Romain Amalfitano,M,France
4176,Sammy Ameobi,F,England
3416,David Amoo,F,England
3663,Ben Amos,G,England
3184,Mikkel Andersen,G,Denmark
3446,Anderson,M,Brazil
4247,André Santos,M,Brazil
4035,Chuks Aneke,F,England
4473,Martin Angha,D,Switzerland
2905,Victor Anichebe,F,Nigeria
4550,Vurnon Anita,M,Curacao
4483,Zak Ansah,F,England
4665,Jordan Archer,G,Scotland
3944,Diego Arismendi,M,Uruguay
10043,Nick Arnold,D,England
3550,Andrey Arshavin,M,Russia
2704,Mikel Arteta,M,Spain
4526,Oussama Assaidi,M,Morocco
3239,Benoit Assou-Ekotto,D,Cameroon
3901,Daniel Ayala,D,Spain
4496,César Azpilicueta,D,Spain
4213,Demba Ba,F,Senegal
3030,Leighton Baines,D,England
2129,Chris Baird,D,Northern Ireland
3561,Nathan Baker,D,England
4376,Angelo Balanta,F,Colombia
4711,Sam Baldock,F,England
3513,Gareth Bale,F,Wales
4152,Mario Balotelli,F,Italy
4291,Patrick Bamford,F,England
3565,Barry Bannan,M,Scotland
4520,Charles Banya,M,England
2517,Phil Bardsley,D,Scotland
4115,Ross Barkley,M,England
2361,Lee Barnard,F,England
3739,Leon Barnett,D,England
1308,Gareth Barry,M,England
4427,Jack Barthram,D,England
3312,Kyle Bartley,D,England
2303,Joey Barton,M,England
3681,Sebastien Bassong,D,Cameroon
4048,Jean Beausejour,M,Chile
4162,Bebé,F,Cape Verde
4562,Luciano Becchio,F,Argentina
2537,Asmir Begovic,G,Bosnia & Herzegovina
4474,Héctor Bellerín,D,Spain
4171,Hatem Ben Arfa,M,France
2645,Tal Ben Haim,D,Israel
3013,Yossi Benayoun,M,Israel
2844,Nicklas Bendtner,F,Denmark
3672,Joe Bennett,D,England
2098,Darren Bent,F,England
4492,Christian Benteke,F,Belgium
2009,David Bentley,M,England
4205,Saido Berahino,F,Burundi
3247,Dimitar Berbatov,F,Bulgaria
2886,Ryan Bertrand,D,England
4404,Federico Bessone,D,Argentina
4511,Marcus Bettinelli,G,England
3871,Jake Bidwell,D,England
4552,Gaël Bigirimana,M,Burundi
4594,Nicholas Bignall,F,England
4318,Villyan Bijev,F,Bulgaria
4283,Jamal Blackman,G,England
4032,Daniel Boateng,D,England
3863,Fabio Borini,F,Italy
4601,Artur Boruc,G,Poland
4227,Mauro Boselli,F,Argentina
3726,John Bostock,M,Trinidad & Tobago
1658,Jay Bothroyd,F,England
4493,Jordan Bowery,D,England
3908,Dedryck Boyata,D,Belgium
2669,Emmerson Boyce,D,Barbados
4158,Robert Brady,M,Ireland
1890,Titus Bramble,D,England
1458,Wayne Bridge,D,England
3116,Matthew Briggs,D,Guyana
2152,Leon Britton,M,England
4155,Reece Brown,D,England
3859,Jeffrey Bruma,D,Netherlands
4380,Bruno Andrade,F,Portugal
4390,Ryan Brunt,F,England
3567,Mark Bunn,G,England
4261,Graham Burke,F,Ireland
8707,Dan Burn,D,England
4634,Jack Butland,G,England
4559,Jacob Butterfield,M,England
3505,David Button,G,England
4222,Adam Buxton,D,England
4382,Ákos Buzsáky,M,Hungary
4341,Yohan Cabaye,M,France
2620,Gary Cahill,D,England
1732,Gary Caldwell,D,Scotland
