team_id,season_id,position,played,wins,draws,losses,goals_for,goals_against,points,clean_sheets,goal_difference
11,210,1,0,0,0,0,0,0,0,0,0
10,210,2,0,0,0,0,0,0,0,0,0
4,210,3,0,0,0,0,0,0,0,0,0
21,210,4,0,0,0,0,0,0,0,0,0
1,210,5,0,0,0,0,0,0,0,0,0
12,210,6,0,0,0,0,0,0,0,0,0
38,210,7,0,0,0,0,0,0,0,0,0
7,210,8,0,0,0,0,0,0,0,0,0
26,210,9,0,0,0,0,0,0,0,0,0
25,210,10,0,0,0,0,0,0,0,0,0
33,210,11,0,0,0,0,0,0,0,0,0
6,210,12,0,0,0,0,0,0,0,0,0
23,210,13,0,0,0,0,0,0,0,0,0
127,210,14,0,0,0,0,0,0,0,0,0
43,210,15,0,0,0,0,0,0,0,0,0
20,210,16,0,0,0,0,0,0,0,0,0
131,210,17,0,0,0,0,0,0,0,0,0
46,210,18,0,0,0,0,0,0,0,0,0
34,210,19,0,0,0,0,0,0,0,0,0
159,210,20,0,0,0,0,0,0,0,0,0
