team_id,name,short_name,founded,stadium,capacity
1,Arsenal,Arsenal,,Emirates Stadium,60272
2,Aston Villa,Aston Villa,,Villa Park,42682
127,Bournemouth,Bournemouth,,Vitality Stadium,11464
130,Brentford,Brentford,,Gtech Community Stadium,17250
131,Brighton & Hove Albion,Brighton,,American Express Stadium,30750
4,Chelsea,Chelsea,,Stamford Bridge,41798
6,Crystal Palace,Crystal Palace,,Selhurst Park,25073
7,Everton,Everton,,Goodison Park,39571
34,Fulham,Fulham,,Craven Cottage,25700
8,Ipswich Town,Ipswich,,Portman Road,30300
26,Leicester City,Leicester,,King Power Stadium,32312
10,Liverpool,Liverpool,,Anfield,61276
11,Manchester City,Man City,,Etihad Stadium,55000
12,Manchester United,Man Utd,,Old Trafford,75635
23,Newcastle United,Newcastle,,St. James' Park,52405
15,Nottingham Forest,Nott'm Forest,,The City Ground,30602
20,Southampton,Southampton,,St. Mary's Stadium,32505
21,Tottenham Hotspur,Spurs,,Tottenham Hotspur Stadium,62850
25,West Ham United,West Ham,,London Stadium,62500
38,Wolverhampton Wanderers,Wolves,,Molineux Stadium,31500
