source,url,date,title,content,summary,title_polarity,title_subjectivity,content_polarity,content_subjectivity,weighted_polarity,weighted_subjectivity
BBC News,https://www.bbc.com/sport/football/articles/cj930nyr8vvo,2025-05-16 15:36:52.919392,Jeremie Frimpong: How does Liverpool target compare with Trent Alexander-Arnold?,"How do you solve a problem like Trent Alexander-Arnold?

With Liverpool's star right-back set for a summer move to Real Madrid, Arne Slot is tasked with replacing one of the Premier League's great full-backs.

The England defender has come under criticism from his own supporters for the move but Liverpool have been quick to act in pursuit of a replacement with Bayer Leverkusen's Jeremie Frimpong emerging as a target.

Initial overtures towards a deal with the Netherlands international have begun and continued in recent days.

But how do the two compare? BBC Sport takes a look at the stats.",Arne Slot is tasked with replacing one of the premier league's great full-backs . the right-back has come under criticism from his own supporters for the move .,0.0,0.0,0.2761904761904762,0.39999999999999997,0.19333333333333333,0.27999999999999997
BBC News,https://www.bbc.com/sport/football/live/cr58md2d428t,2025-05-16 15:36:54.961827,"Chelsea vs Manchester United: Premier League preview, team news, stats & head-to-head","Chelsea have won just one of their last 14 Premier League games against Manchester United (D8 L5), though it was a 4-3 victory in this exact fixture last season.

Manchester United have won just one of their last 11 Premier League away games against Chelsea (D5 L5), a 2-0 victory in February 2020 under Ole Gunnar Solskjaer.

This is just the second ever Premier League meeting between Chelsea and Manchester United on a Friday, following a 2-2 draw at Stamford Bridge in August 2002.

Chelsea vs Manchester United is the most drawn fixture in Premier League history (27). The reverse fixture at Old Trafford this season finished 1-1, with both meetings between the sides finishing level in seven previous campaigns (1998-99, 2000-01, 2006-07, 2015-16, 2018-19, 2020-21 and 2021-22).

Chelsea haven’t lost their final home league game in any of the last 22 seasons (W15 D7), since a 3-1 defeat to Aston Villa in 2001-02.

Manchester United have won their final away league game in four of the last five seasons (L1). However, they’re winless in seven when their final match on the road is at a London side (D3 L4).

Chelsea are unbeaten in all nine of their Premier League home games so far in 2025 (W7 D2). Indeed, the Blues have earned the joint-most points (23) and conceded the fewest goals (7) at home of any Premier League side this calendar year.

Manchester United are winless in their last seven Premier League games (D2 L5) since winning 3-0 at Leicester in March. They last had a longer run without a league victory between December 1989 and February 1990 (11).

Cole Palmer has scored four goals in his three Premier League games against Manchester United for Chelsea, including a hat-trick in this exact fixture last season. No Blues player has scored more against the Red Devils in the competition (Eidur Gudjohnsen also 4).","manchester united have won just one of their last 14 premier league away games against Manchester United (D5 L5) . the reverse fixture at old Trafford this season finished 1-1, with both meetings finishing level in seven previous campaigns .",0.0,0.0,0.051388888888888894,0.33541666666666664,0.035972222222222225,0.23479166666666662
BBC News,https://www.bbc.com/sport/football/articles/c5yk7rdpex3o,2025-05-16 15:36:56.522315,Scotland: Rachel Corsie returns as Melissa Andreatta names first squad,"Recalling captain Rachel Corsie was ""an easy decision"" for Melissa Andreatta as the head coach named her first Scotland squad since being appointed last month.

Centre-half Corsie, who is without a club after playing her last game for Aston Villa on Saturday, has not represented the national team since July following a series of injuries.

""When you're announcing your first squad, nothing is ever straightforward, but when I started watching games and seeing the experience, the decision-making that she'll bring to this team, it was an easy decision after that,"" the Australian said.

The Scots round off Nations League Group A1 at home to Austria on 30 May before travelling to the Netherlands four days later.

There is also a first call up for Hibernian striker Kathleen McGovern, who has 25 goals for the Scottish Women's Premier League leaders, while Rangers captain Nicola Docherty and two club-mates - winger Brogan Hay and forward Kirsty Howat - are recalled.",the head coach named her first squad since being appointed last month . she is without a club after playing last game for aston villa on saturday . the australian has not represented the national team since July .,0.25,0.3333333333333333,0.10705128205128206,0.31346153846153846,0.14993589743589741,0.3194230769230769
BBC News,https://www.bbc.com/sport/football/live/c3d4xrv2d54t,2025-05-16 15:37:00.735925,"Everton vs Southampton: Premier League preview, team news, stats & head-to-head","Everton lost their last home league match against Southampton in January 2023, ending a 17-game unbeaten run against Saints at Goodison Park. They last lost consecutive home league games against them in April 1974.

Following their 1-0 win at St Mary’s in the reverse fixture, Southampton are looking to complete the league double over Everton for the first time since 1997-98.

Southampton beat Everton 1-0 in the reverse fixture – the only relegated teams to complete the Premier League double over the Toffees are Middlesbrough (1996-97), Sunderland (1996-97) and Bournemouth (2019-20).

This will be Everton’s 2,789th and final game at Goodison Park in all competitions (W1537 D660 L591). They’re currently winless in seven home games (D5 L2), last having a longer run between October and December 2009 (8).

Though they’ve only kept one clean sheet in their last 13 Premier League games, Everton haven’t conceded more than twice in any of their last 23. Only Arsenal (59) and Bournemouth (25) are on longer current runs without conceding 3+ goals.

Southampton have won just one of their last 26 Premier League games (D5 L20). However, their 0-0 draw with Manchester City last time out ensured the Saints won’t finish the 2024-25 campaign with the joint-lowest points total in Premier League history.

Only five teams have had more sequences of 10+ open play passes in the Premier League this season than Southampton (441). As it stands, their average of 12.3 per game is the most of any relegated team on record in a single campaign (since 2014-15).

Southampton have conceded 10 goals from high turnovers in the Premier League this season – only Brentford last season (11) have conceded more in a single campaign on record (since 2014-15).

Everton are the only team yet to concede a penalty goal in the Premier League this season, while Southampton are one of two sides yet to score a penalty this term along with Wolves. Only in 2009-10 have Everton gone through a whole Premier League campaign without conceding from a penalty, while only in 2000-01 have Saints not scored from the spot in the competition.","Everton lost their last home league match against saints in January 2023 . they last lost consecutive home league games against them in April 1974 . the only relegated teams to complete the premier league double over the toffees are middlesbrough (1996-97), sunderland and Bournemouth (2019-20)",0.0,0.0,0.08253193960511035,0.47524970963995344,0.05777235772357724,0.3326747967479674
BBC News,https://www.bbc.com/sport/football/teams/crystal-palace,2025-05-16 15:37:04.069981,"Transfer news, results, fixtures, video and audio","'It should never happen' - has offside rule been a 'time bomb'?

Image source, Getty Images

For the players and fans, Nottingham Forest striker Taiwo Awoniyi getting this injury in a situation where the offside flag should have been raised is so frustrating.

The frustration is when it is clear and obvious. Officials have been overseeing games for many years and they would always flag whether they were right or wrong.

Now technology has come into it, they are very reliant on VAR to make the right decision, the factual decision, about an offside. But, I think when an offside is so clear and obvious, it should be the duty of the assistant referee to put their flag up and stop play from the off.

When it is marginal, I understand we are a bit more hesitant when there are really fine margins, and we have seen those fine margins when goals have been given and it is a toenail to keep them on-side. I would understand it from that point of view, but it was on the halfway-line where the offside happened on Sunday, only for play to be allowed to continue.

It has been a matter of time. It has been a time bomb waiting to go off for somebody to get seriously injured. Awoniyi is the one that has got that injury - that horrific injury - because of it. Some will say it is only the first time it has happened in the duration of this rule, but it should never happen. That is how players will be looking at it, how fans and managers will be looking at it and saying 'it should never happen'. We should not wait for something to happen to reassess rules like this.

I don't like the ruling of it - it is on the halfway-line, it is clear and obviously offside, everybody in the stadium could probably see it. It should be for the assistant referee to make the decision. There are small margins in the box, I understand why they are a bit hesitant, but in open play, if somebody is sprinting, you could cause hamstring, quad, and all types of muscle injuries.

I am totally against this rule of waiting to put up the flag and I think most players and managers are as well. It's disappointing. I think it's a rule that nobody likes, and I'm sure in the summer off the back of this injury, one that will probably be reassessed.

Fara Williams was speaking to BBC Sport's Nicola Pearson","the frustration is when it is clear and obvious, it should be the duty of the assistant referee to put their flag up and stop play from the off . it is a toenail to keep the offside on-side, but it was on the halfway-line . 'it should never happen', says awoniyi .",0.0,0.0,0.03968253968253969,0.5763080540858319,0.02777777777777778,0.4034156378600823
BBC News,https://www.bbc.com/sport/football/articles/cx2qv552e56o,2025-05-16 15:37:06.281787,Why are PSG and Kylian Mbappe facing each other in court?,"The striker's legal team, however, now assert that the ""gentleman's agreement"" is invalid as the additional clause was never signed.

As a result, they are claiming Mbappe is owed 55m euros - a sum made up of the final third of his signing-on fee and three months' worth of wages which were unpaid.

They argue that a written contractual amendment would have had to be signed and submitted to the Ligue de Football Professionnel (LFP) - the governing body for France's two professional divisions - for the change to be valid, and that no ""tangible proof"" of an agreement has been presented.

Mbappe brought the case to the LFP, whose disciplinary commission initially issued a non-binding ruling that PSG were to pay the sum.

It later deemed itself to have no jurisdiction over the matter because of an ongoing civil court case, which the player's team claims was only launched by PSG against the LFP ""in order to avoid disciplinary action"".

In February, the French Football Federation (FFF) dismissed Mbappe's subsequent appeal on the same grounds.

Speaking to BBC Sport, a lawyer with knowledge of PSG's case explains that the LFP's decision came from the fact that it could make a judgement based on the original contract - ""but what's being debated is whether it was amended"".

In December, following the LFP's latest decision, a club spokesperson reiterated that Mbappe had ""made clear public and private commitments that the club simply asks to be honoured"", and that PSG remained hopeful of ""an amicable solution"".

The club also claimed that Mbappe refused the LFP's offer for mediation.

Last month, Mbappe's lawyers held a press conference to announce they had ""gone on the attack"", having notably obtained the seizure of the 55m euros from PSG's accounts through a court decision.

They also indicated that they were filing a complaint claiming PSG put pressure on Mbappe to renew, which the club denies, and that they had sent a letter to the FFF asking them to notify Uefa on the situation.

In a hearing on Monday, after PSG contested the precautionary seizure, the club announced that a counterclaim for 98m euros (£82.6m) in damages would be brought forward as part of their wider case.

In their court submission, the club's lawyers asserted that the counterclaim was prompted by Mbappe's ""deceptive behaviour during negotiations to revise his contract"".

The striker's team, meanwhile, reiterated that despite the counterclaim there was ""no legal basis for deferring payment of the sum due"".

""The aim is not to recover the 98m euros, but rather to show that if he owes us money, his claim is unfounded,"" PSG lawyer Renaud Semerdjian told the AFP.

For the club, the standoff also represents a reversal in the days where player power reigned supreme - the new-look (albeit still as spendthrift) PSG styles itself as a project built around a collective unit rather than individual talents.

Mbappe's team, meanwhile, claimed in their April press conference that it was PSG who had put him under pressure to re-sign back in 2023 through ""scandalous and indecent practices"", and that they would be joining the players' union in its legal action against the ""lofts"".

A decision on the seizing of the club's accounts is expected on 26 May - the same day as a separate hearing on the wider case, in which the French football authorities initially dismissed Mbappe's appeals.

While the 26-year-old will have wrapped up his maiden season in Spain the previous evening, Paris St-Germain will be in the midst of a week bookended by the Coupe de France and Champions League finals.

It could be an era-defining week both on and off the pitch for the Parisians.","a written contractual amendment would have had to be signed and submitted to the governing body for the change to be valid . they argue that no ""tangible proof"" of an agreement has been presented . the disciplinary commission initially issued a non-binding ruling that PSG were to pay the sum .",-0.125,0.375,0.0553921568627451,0.25707282913165264,0.0012745098039215683,0.29245098039215683
BBC News,https://www.bbc.com/sport/football/championship,2025-05-16 15:37:07.803621,Championship,"Oxford sign two-year extension at Kassam Stadium

Oxford United and Firoka Group have reached an agreement for the U's to stay at the Kassam Stadium for a maximum of two further years.",Oxford sign a two-year extension at Kassam Stadium . the U's will stay at the stadium for a maximum of two years .,0.0,0.0,0.0,0.5,0.0,0.35
BBC News,https://www.bbc.com/sport/football/articles/cpw7rn8959wo,2025-05-16 15:37:09.870122,"FA Cup finals on the BBC: Watch, listen and read about the men's and women's FA Cup finals with BBC Sport","The men's and women's FA Cup finals take place at Wembley this weekend - and you can watch both live on BBC One, iPlayer and the BBC Sport website and app.

Crystal Palace meet Manchester City in the men's final on Saturday (16:30 BST kick-off).

Palace are seeking to win a first major trophy in the club's history, while City are looking to avoid a first season without a major trophy since 2016-17.

Then on Sunday Chelsea will be looking to complete a domestic treble when they face holders Manchester United in the women's FA Cup final at the national stadium (13:30 kick-off).

Sonia Bompastor has already secured the Women's Super League title and League Cup in her first season in charge of the Blues, while United - who have qualified for next season's Champions League - are looking to defend the trophy they won when they beat Tottenham 4-0 in last season's final.","the men's and women's finals take place at wembley this weekend . you can watch both live on BBC One, iPlayer and the BBC Sport website and app . palace are seeking to win a first major trophy in the club's history .",0.0,0.0,0.14964646464646467,0.4755555555555555,0.10475252525252526,0.33288888888888885
BBC News,https://www.bbc.com/sport/football/articles/ce8dj443v5yo,2025-05-16 15:37:11.711749,Ramon Diaz at Oxford United: The story of how Argentine took charge of League Two club,"It was December 2004.

Oxford United, the 1986 League Cup winners, were in a slump, having dropped from the second tier to the fourth since 1999 - and were sliding down League Two when owner Firoz Kassam sacked Graham Rix.

Kassam, the club's unpopular owner, invited out-of-work manager Chris Turner to watch their 1-0 defeat by Swansea - and most people thought he was the new manager, including the Oxford Mail, external and some players.

But instead... ""It was quite bizarre,"" said former U's striker Basham. ""Five or six guys came in, in a line. They all stood in front of us and none of them spoke a word of English, apart from one translator.""

Goiran said ""all the players had wide-open eyes wondering 'who are these guys?'"".

Those guys were Diaz, head coach Horacio Rodriguez, another coach Raul Marcovich, Goiran, fitness trainer Pablo Fernandez, doctor Rafael Giulietti and translator Giuilliano Iacoppi.

But wait, how did it come to this? It all starts in Monaco - where Kassam and Goiran lived and Diaz also had a home having played for the club.

Kassam approached a friend of a friend, Goiran, who has worked as a football agent and consultant, to help him find a manager and the Monegasque suggested Diaz - who had left River Plate in 2002.

At the time it was widely reported that Diaz was not being paid to be Oxford manager - and Kassam said he had ""promised him shares in the club in return for success"".

But Goiran, speaking 20 years on, says Kassam's company Firoka, but not the club, instead paid Diaz and Goiran consulting fees in Monaco.

And the question many have asked - why did a manager with five Argentine titles and the Copa Libertadores come to League Two Oxford?

Goiran says it was part of a project to get to the Premier League in five years - but after a bitter ending, Diaz, who is now Corinthians manager in Brazil, never worked in England or even Europe again.

""When they first came in, there were grand talks about redeveloping the stadium, putting a new stand behind the goal and taking us into the Premier League,"" said goalkeeper Tardif.","firoz Kassam invited out-of-work manager Chris Turner to watch their 1-0 defeat by Swansea . the former club's owner sacked Graham Rix . he said: ""it was quite bizarre,"" says former striker Basham .",0.0,0.0,0.10928731762065096,0.32396184062850725,0.07650112233445566,0.22677328843995506
BBC News,https://www.bbc.com/sport/football/live/c62nmkx0rrnt,2025-05-16 15:37:14.153967,Charlton Athletic 1-0 Wycombe Wanderers (1-0 agg): Addicks reach League One play-off final,"Wembley awaits... FT: Charlton 1-0 Wycombe (1-0 agg)

Image source, Rex Features

Well, we waited 171 minutes but we got a goal and Charlton will face Leyton Orient in a London knees-up at Wembley in 10 days time.

You can read the report by clicking on the tab above and we are back tomorrow night for League Two action as Walsall defend a 2-0 lead against Chesterfield.

Thanks for joining us and enjoy the rest of your evening!",Charlton will face leyton Orient in a knees-up at wembley in 10 days time . we waited 171 minutes but we got a goal and we are back tomorrow night for league two action .,0.0,1.0,0.16,0.18,0.11199999999999999,0.426
